No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3}
1,03:00 18/09/2019,-,0,124.2955,110.62,91.0317,2.091,12.7422,812.8472,82.5469
2,04:00 18/09/2019,-,0,140.2281,73.1515,52.2027,2.0413,14.8128,1120.7292,43.5853
3,05:00 18/09/2019,-,0,142.0196,123.542,103.6208,2.1548,14.7015,1673.1596,90.9644
4,06:00 18/09/2019,-,0,137.1535,149.2294,120.7061,3.8022,18.6181,1921.3196,107.2657
5,07:00 18/09/2019,-,0,151.8071,137.9871,73.0467,14.3054,27.3561,1104.3403,57.816
6,08:00 18/09/2019,-,0,97.8806,207.7296,97.6707,16.9082,35.9578,1290.7464,75.4815
7,09:00 18/09/2019,-,0,109.1995,164.9913,62.2783,16.7787,47.3102,1414.8783,42.887
8,10:00 18/09/2019,-,0,142.1389,125.6095,45.7207,8.6756,33.347,1265.9724,31.5565
9,11:00 18/09/2019,-,0,171.6647,146.4885,52.321,6.3194,30.4183,971.7882,36.7897
10,12:00 18/09/2019,-,0,220.8465,140.9131,52.4958,3.0971,20.3161,911.3195,37.4619
11,13:00 18/09/2019,-,0,222.0978,135.5507,48.562,5.9855,29.3682,778.2465,33.1638
12,14:00 18/09/2019,-,0,217.713,95.5538,45.7412,10.0377,35.6278,682.1528,34.879
13,15:00 18/09/2019,-,0,259.5631,349.2987,69.1919,3.7328,19.8776,632.9166,28.2656
14,16:00 18/09/2019,-,0,180.2998,31.8883,20.303,11.8115,51.7916,1125,16.7091
15,17:00 18/09/2019,-,0,172.3058,28.3703,18.2302,9.1146,43.7993,792.5,15.4059
16,18:00 18/09/2019,-,0,166.4843,55.6565,34.7369,9.879,49.0929,935.1736,29.5072
17,19:00 18/09/2019,-,0,164.3508,41.5537,23.9155,4.1345,34.8878,935.4687,20.066
18,20:00 18/09/2019,-,0,190.5569,41.2116,24.7994,2.0236,25.2004,712.178,20.9551
19,21:00 18/09/2019,-,0,189.2501,40.1295,23.3172,1.8866,24.1068,734.1493,19.1555
20,22:00 18/09/2019,-,0,174.9736,57.0145,38.4268,1.9562,25.6602,738.4201,32.4045
21,23:00 18/09/2019,-,0,156.8247,106.1797,76.063,2.3573,29.4701,878.0903,62.1422
22,00:00 19/09/2019,-,0,113.7394,566.8144,461.3879,10.4885,44.8656,1101.6146,358.8141
23,01:00 19/09/2019,-,0,105.1668,1098.5954,807.9914,12.1802,46.7585,1033.316,550.9909
24,02:00 19/09/2019,-,0,110.2645,3971.853,2756.086,15.9058,50.8365,1647.917,1633.501
25,03:00 19/09/2019,-,0,109.0989,885.3718,738.7926,9.9208,40.4164,1001.059,626.0365
26,04:00 19/09/2019,-,0,132.5666,790.6247,660.4428,12.8752,37.7902,1098.7502,565.1508
27,05:00 19/09/2019,-,0,146.2157,979.9582,852.0584,25.0286,43.2361,1354.4618,726.546
28,06:00 19/09/2019,-,0,136.8451,416.7095,371.0336,6.4324,27.2055,865.2604,330.6452
29,07:00 19/09/2019,-,0,129.9753,56.7485,47.6986,2.9474,19.4365,925.2604,42.7661
30,08:00 19/09/2019,-,0,130.4533,34.8687,28.0352,3.5391,19.5589,863.1423,25.122
31,09:00 19/09/2019,-,0,130.1614,35.3562,25.161,14.7095,54.8655,1100.2257,21.216
32,10:00 19/09/2019,-,0,137.6815,40.3873,31.2017,8.8956,37.039,992.5695,27.4927
33,11:00 19/09/2019,-,0,143.8685,28.4807,22.3794,10.221,39.4011,821.6319,19.6934
34,12:00 19/09/2019,-,0,153.1766,22.7718,18.0102,24.6232,56.9215,916.5972,15.909
35,13:00 19/09/2019,-,0,144.6608,42.8063,33.3059,25.7803,73.8199,1212.9861,29.4752
36,14:00 19/09/2019,-,0,164.0097,27.7141,23.6315,12.6382,51.8689,773.6459,21.7788
37,15:00 19/09/2019,-,0,205.4589,23.7236,20.3249,3.6316,22.8995,558.316,18.9898
38,16:00 19/09/2019,-,0,218.0312,33.8136,25.2688,3.5782,21.9721,565.7639,23.0455
39,17:00 19/09/2019,-,0,220.126,41.0077,29.452,11.9988,46.1214,570.5208,26.1465
40,18:00 19/09/2019,-,0,258.3754,43.7394,29.857,2.7642,26.005,541.7292,26.2425
41,19:00 19/09/2019,-,0,209.4018,53.8753,32.7565,5.5416,33.5193,764.1666,28.1721
42,20:00 19/09/2019,-,0,198.874,52.8814,33.4711,2.5572,31.8755,787.8993,29.1123
43,21:00 19/09/2019,-,0,188.4977,73.8247,52.4201,2.3052,31.2801,853.8368,46.8926
44,22:00 19/09/2019,-,0,172.5463,57.0619,38.2257,1.8406,30.5741,881.8403,33.8452
45,23:00 19/09/2019,-,0,152.8135,75.44,58.388,2.1395,36.0882,1031.8229,53.7122
46,00:00 20/09/2019,-,0,122.5254,601.3098,500.046,3.8572,42.1564,1209.132,387.0646
47,01:00 20/09/2019,-,0,109.5975,845.7912,720.426,7.6142,51.1172,1184.8089,614.167
48,02:00 20/09/2019,-,0,113.4284,361.684,310.6053,7.2784,47.2243,1116.3889,278.4534
49,03:00 20/09/2019,-,0,107.5078,670.449,571.2718,8.198,41.4705,1237.9339,497.003
50,04:00 20/09/2019,-,0,124.8027,363.8235,293.6527,5.4387,34.5851,1173.9409,249.4845
51,05:00 20/09/2019,-,0,131.5317,414.0276,349.6962,9.3595,30.8793,1175.6944,301.8418
52,06:00 20/09/2019,-,0,132.9782,201.1847,167.5849,5.4711,22.7965,1025.4514,145.0318
53,07:00 20/09/2019,-,0,116.4706,102.96,76.1264,5.8316,23.4153,966.7187,63.7322
54,08:00 20/09/2019,-,0,93.1389,71.0446,43.9726,21.5288,29.4415,1068.7846,35.518
55,09:00 20/09/2019,-,0,102.0128,69.5378,41.7917,9.1435,24.8052,1007.4652,33.9481
56,10:00 20/09/2019,-,0,112.042,99.2433,66.9992,9.9927,30.1168,1375.1563,57.2233
57,11:00 20/09/2019,-,0,151.1455,96.6837,65.835,6.6661,29.6113,1324.0104,57.2338
58,12:00 20/09/2019,-,0,186.8375,89.1536,48.701,7.9451,37.2718,930.4514,41.0682
59,13:00 20/09/2019,-,0,185.7085,127.6337,47.1465,9.0469,43.5961,1001.2847,34.4808
60,19:00 23/10/2019,72.9987,2.75,60.5153,216.2061,72.2617,12.6673,60.3314,840.0694,46.2417
61,20:00 23/10/2019,89.9871,2.7273,52.6461,157.089,70.2945,36.2753,53.7118,739.3576,52.5213
62,21:00 23/10/2019,53.2801,2.5724,54.9239,113.3403,49.5531,13.8465,39.4337,598.559,36.2346
63,22:00 23/10/2019,27.2642,2.6336,60.8475,61.9604,31.9281,3.3919,23.8723,667.5347,24.1478
64,23:00 23/10/2019,22.9976,3.0348,61.9718,69.143,27.9945,3.0139,19.9837,398.6979,19.4936
65,00:00 24/10/2019,12.6239,3.4145,60.9422,55.6904,14.6323,2.2592,10.3647,335.191,8.5819
66,01:00 24/10/2019,9.8678,3.6981,65.0109,13.4231,7.8736,1.6549,8.2129,318.2812,6.229
67,02:00 24/10/2019,12.0569,4.0147,64.0394,14.8616,7.4483,1.9346,10.1222,307.6736,5.2684
68,03:00 24/10/2019,11.7216,3.884,61.9009,14.7517,7.6879,1.7468,9.9747,305.0694,5.4297
69,04:00 24/10/2019,15.4238,3.3402,60.9314,18.6274,12.8726,1.7396,13.6842,450.2257,10.4529
70,05:00 24/10/2019,10.5587,3.4012,67.5655,23.768,16.9919,1.458,9.1008,310.4735,14.7807
71,06:00 24/10/2019,25.8089,3.4058,49.6569,25.4186,19.3271,5.3756,20.4333,467.691,17.4863
72,07:00 24/10/2019,20.0297,3.8717,46.0468,20.5186,13.5314,3.6642,16.3655,745.2431,11.3597
73,08:00 24/10/2019,26.8893,4.57,42.6987,18.9811,12.3239,4.9902,21.8991,565.191,10.1549
74,09:00 24/10/2019,51.5573,5.1925,41.0849,44.242,26.9836,16.5069,35.0504,733.9931,21.9634
75,10:00 24/10/2019,39.6302,5.6082,45.5452,57.8222,44.9918,10.8733,28.7569,702.2917,39.7689
76,11:00 24/10/2019,39.1977,5.1559,49.5727,44.3255,32.2344,11.2787,27.919,618.8542,28.3779
77,12:00 24/10/2019,44.1775,4.3261,49.4497,30.0741,16.6128,14.9071,29.2704,560.5556,13.5609
78,13:00 24/10/2019,88.4471,4.3496,42.1611,48.8632,25.0044,36.7279,51.7192,659.3403,19.5085
79,14:00 24/10/2019,46.2579,4.0715,43.1669,39.2944,24.3434,15.6467,30.6112,599.6007,19.8767
80,15:00 24/10/2019,32.7567,4.4171,44.6298,33.879,20.9153,9.1665,23.5902,584.3403,17.4491
81,16:00 24/10/2019,59.9542,5.0451,42.3094,32.0226,16.2972,19.8558,40.0984,593.941,12.8532
82,17:00 24/10/2019,135.9493,5.6207,25.36,46.9644,17.8291,70.7237,65.2256,826.2847,12.5978
83,18:00 24/10/2019,80.7457,5.714,31.9968,55.4614,25.7361,28.7666,51.979,880.4688,20.1685
84,19:00 24/10/2019,46.9739,4.9788,35.0008,62.7879,29.6807,13.7311,33.2428,797.2743,23.3326
85,20:00 24/10/2019,37.4246,4.0266,30.5407,52.7531,31.5913,8.7984,28.6262,835.9375,26.0314
86,21:00 24/10/2019,27.4391,4.0652,30.6937,54.4315,25.6805,6.1497,21.2894,785.2257,20.0777
87,22:00 24/10/2019,34.013,4.2531,32.1343,35.1987,21.2565,14.4387,19.5743,708.6979,18.2025
88,23:00 24/10/2019,20.3358,4.7599,32.9974,33.5554,21.8942,4.4801,15.8557,610.9375,18.4778
89,00:00 25/10/2019,12.8883,5.3724,35.6607,33.5814,23.9691,1.9964,10.8919,566.684,20.9793
90,01:00 25/10/2019,10.8771,5.4864,36.4858,37.8248,29.7535,2.0044,8.8727,475.3472,26.0437
91,02:00 25/10/2019,8.6376,5.546,40.4896,33.5981,25.8855,1.5918,7.0458,400.3472,22.5706
92,03:00 25/10/2019,9.8021,4.9736,43.1838,38.3801,29.7212,1.7182,8.0839,449.9826,26.0947
93,04:00 25/10/2019,9.7861,4.3051,46.4522,26.361,19.9424,1.6517,8.1344,449.6354,17.2294
94,05:00 25/10/2019,11.1963,4.2618,47.5294,23.0333,17.5318,1.7293,9.4669,419.375,14.7472
95,06:00 25/10/2019,12.792,4.3023,45.2533,36.4141,28.3094,1.8356,10.9564,542.2396,24.746
96,07:00 25/10/2019,15.6718,4.6257,40.4625,41.3996,32.9368,2.324,13.3479,690.6424,29.6196
97,08:00 25/10/2019,38.743,5.2648,26.3116,97.3671,69.1421,11.1732,27.5698,961.5451,60.9753
98,09:00 25/10/2019,39.8348,5.7426,28.1129,56.3809,27.5764,11.6844,28.1504,781.1111,22.1339
99,10:00 25/10/2019,50.6769,5.8408,28.4081,70.2032,30.1307,18.9323,31.7446,752.1006,22.8251
100,11:00 25/10/2019,54.8188,5.2684,29.4407,84.904,34.1678,17.897,36.9218,747.5695,24.1378
101,12:00 25/10/2019,57.8445,4.1708,35.6935,95.4903,46.3725,21.2088,36.6357,687.257,36.9285
102,13:00 25/10/2019,45.1068,4.1764,48.2723,102.6684,60.2203,13.0207,32.086,581.4757,51.5518
103,14:00 25/10/2019,39.4916,4.1041,56.7053,70.717,41.4191,10.1485,29.3431,597.309,32.109
104,15:00 25/10/2019,59.5435,4.2487,53.9009,68.7983,34.1397,16.4554,43.0881,644.809,26.6773
105,16:00 25/10/2019,58.6147,6.0032,67.4259,76.7844,36.4996,15.9026,42.7121,584.3924,28.5931
106,17:00 25/10/2019,50.818,10.1014,77.484,121.3904,82.5373,9.7243,41.0937,628.5243,74.0665
107,18:00 25/10/2019,86.632,9.0527,61.3663,100.8907,61.0934,23.0564,63.5756,780.0868,51.9697
108,19:00 25/10/2019,104.0309,7.0416,44.5411,136.9456,82.2866,23.622,80.409,1082.6736,66.9875
109,20:00 25/10/2019,77.0247,4.8322,31.3283,240.5202,162.3182,8.5295,68.4952,1385.3125,135.7178
110,21:00 25/10/2019,84.365,4.4584,20.1186,167.9532,106.7721,13.7424,70.6225,1385.4341,88.5204
111,22:00 25/10/2019,78.564,4.3178,18.6304,137.6793,86.1956,10.9415,67.6225,1310.0521,70.1512
112,23:00 25/10/2019,93.1244,4.5677,15.535,131.1349,86.6898,32.2276,60.8968,1274.0277,72.0049
113,00:00 26/10/2019,81.6744,5.37,13.7021,182.8916,134.8234,30.8421,50.8322,1352.1006,114.7921
114,01:00 26/10/2019,85.4992,5.7184,12.7425,131.9375,91.9479,30.8965,54.6027,1122.1875,77.3076
115,02:00 26/10/2019,82.5843,6.1736,17.6589,1008.8785,876.2058,29.4744,53.1099,1548.9236,768.46
116,03:00 26/10/2019,81.6258,5.7641,17.494,835.0896,722.2398,33.1637,48.4621,1516.0591,636.8856
117,04:00 26/10/2019,65.0121,5.1226,19.3888,853.3996,731.8092,27.3075,37.7046,1450.7639,633.6879
118,05:00 26/10/2019,49.571,5.0467,18.3096,802.7502,689.3293,18.7068,30.8642,979.3923,581.6492
119,06:00 26/10/2019,42.2478,4.8811,16.9898,474.112,415.3285,14.3017,27.9461,812.066,363.9616
120,07:00 26/10/2019,35.0021,5.1424,14.3676,108.7988,85.6251,8.061,26.9411,690.9722,75.211
121,08:00 26/10/2019,45.878,6.2388,12.2529,70.4728,47.653,18.0868,27.7912,912.0486,40.1544
122,09:00 26/10/2019,66.6077,6.5176,13.5086,189.5891,90.0801,36.8418,29.7659,1607.6041,68.809
123,10:00 26/10/2019,69.064,6.4092,14.1337,153.2246,75.9716,32.1596,36.9044,1229.722,60.6729
124,11:00 26/10/2019,67.7179,6.2713,21.8491,148.513,72.4475,27.365,40.3528,740.3473,56.8729
125,12:00 26/10/2019,87.8509,4.6141,29.29,125.0488,61.5632,30.6356,57.2153,856.632,48.2167
126,13:00 26/10/2019,83.4755,4.0989,38.0388,112.9433,58.1556,22.3665,61.1091,797.9514,45.7578
127,14:00 26/10/2019,56.866,4.1855,62.9491,154.3381,57.1088,14.8859,41.9801,583.9757,40.1124
128,15:00 26/10/2019,28.2172,4.5967,100.6915,102.4882,52.7569,3.5313,24.6859,488.1771,41.2911
129,16:00 26/10/2019,51.8494,4.6296,107.6417,93.5782,47.4575,7.9263,43.9231,456.3194,37.3608
130,17:00 26/10/2019,73.7284,5.0074,93.7938,111.9105,69.9051,14.1498,59.5786,548.0556,59.637
131,18:00 26/10/2019,85.3007,4.972,66.5559,125.9078,62.2392,13.9693,71.3314,812.7778,48.5007
132,19:00 26/10/2019,166.6872,4.7186,28.9606,198.6335,101.4649,61.8779,104.8094,1475.0694,80.3919
133,20:00 26/10/2019,87.1067,3.8685,35.9726,147.6041,78.5284,10.2817,76.825,1247.4134,62.702
134,21:00 26/10/2019,84.2002,3.7776,29.4293,156.4461,101.3891,10.6513,73.5489,1528.42,85.9571
135,22:00 26/10/2019,98.0914,3.7109,23.3111,142.4509,101.8109,22.2814,75.81,1906.1112,88.6888
136,23:00 26/10/2019,97.23,4.0052,19.1572,123.7229,87.4686,21.6274,75.6026,1492.6561,75.8958
137,00:00 27/10/2019,72.9778,4.5883,16.2892,133.8879,95.4124,11.6533,61.3245,1641.2847,81.9232
138,01:00 27/10/2019,52.3505,5.0241,19.2846,138.2693,112.2598,8.4554,43.8951,995.2084,99.2819
139,02:00 27/10/2019,53.3719,5.1397,20.7734,124.8921,103.2845,9.8216,43.5502,758.8542,91.7312
140,03:00 27/10/2019,31.1928,4.8334,21.6466,100.7852,85.3248,3.6387,27.5541,681.4773,77.2806
141,04:00 27/10/2019,25.5725,4.1677,24.6677,83.3177,61.0225,3.2988,22.2736,606.8924,53.4125
142,05:00 27/10/2019,25.0289,3.8634,24.2653,84.6581,59.2968,4.0213,21.0076,712.2743,50.3103
143,06:00 27/10/2019,24.346,3.8821,23.0575,77.4926,58.9542,3.9435,20.4025,813.2986,51.2208
144,07:00 27/10/2019,39.2418,4.2439,23.6168,65.5916,50.1592,15.4266,23.8153,898.8021,44.678
145,08:00 27/10/2019,115.9971,5.1901,15.6561,92.1992,57.3203,65.1752,50.822,1212.9167,49.1238
146,09:00 27/10/2019,91.1608,6.3186,20.5323,127.8532,81.1015,37.9494,53.2114,2013.3159,69.573
147,10:00 27/10/2019,101.9011,7.4229,24.4019,114.2865,67.8679,34.3753,67.5258,1078.5416,57.2088
148,11:00 27/10/2019,81.0942,7.3097,32.5739,127.969,67.3911,15.7402,65.354,697.3958,47.1644
149,12:00 27/10/2019,100.0671,6.4147,33.813,157.6138,67.4607,24.2899,75.7772,669.3676,44.4742
150,13:00 27/10/2019,58.0178,4.1589,61.0945,105.1527,48.1513,8.0999,49.9179,627.1007,37.2928
151,14:00 27/10/2019,37.7872,3.6056,86.0548,87.8175,40.2722,4.1346,33.6525,497.4653,30.5033
152,15:00 27/10/2019,35.7788,3.3537,78.3159,77.7164,36.034,4.6887,31.0901,451.0938,27.4511
153,16:00 27/10/2019,43.7851,3.4094,71.3893,59.1548,27.8763,9.6932,34.0918,360.7118,21.3037
154,17:00 27/10/2019,34.4326,3.3474,70.6651,31.5454,20.2581,4.5238,29.9088,298.9583,16.9289
155,18:00 27/10/2019,35.1742,3.5567,67.8286,29.2325,17.4472,5.1145,30.0597,337.2049,14.673
156,19:00 27/10/2019,65.6439,3.7331,46.8394,43.7601,24.9153,10.6575,54.9864,539.4965,20.3865
157,20:00 27/10/2019,70.1608,3.5349,35.7146,65.9499,42.3742,15.3592,54.8016,1046.2848,36.3476
158,21:00 27/10/2019,52.7117,3.2719,33.7094,82.3603,58.0292,6.1966,46.5151,997.4305,50.6112
159,22:00 27/10/2019,55.9862,3.3001,29.2198,90.1253,66.9604,5.3274,50.6588,1088.5764,58.857
160,23:00 27/10/2019,56.6513,3.3502,28.09,101.9205,79.4307,7.5995,49.0518,1077.361,70.0775
161,00:00 28/10/2019,70.2551,3.6755,23.1742,94.2193,73.2546,12.6299,57.6253,1397.5348,64.386
162,01:00 28/10/2019,68.5067,3.9226,18.3682,87.496,65.9782,10.607,57.8997,1264.5486,57.8517
163,02:00 28/10/2019,55.7063,4.0179,20.076,97.1829,73.8723,5.6723,50.034,1019.2535,64.3909
164,03:00 28/10/2019,31.514,4.2515,25.7767,85.0057,67.4233,3.6991,27.8149,816.875,58.7254
165,04:00 28/10/2019,27.7349,3.8964,27.2119,84.1902,66.5276,3.4566,24.2783,707.1181,58.0891
166,05:00 28/10/2019,44.7625,3.4824,25.2356,74.2264,51.441,6.3121,38.4503,627.5174,43.6424
167,06:00 28/10/2019,70.0191,3.6636,24.4594,110.7428,76.7748,13.7843,56.2348,837.0313,62.76
168,07:00 28/10/2019,55.6744,3.7275,23.5039,86.4807,57.7289,13.1409,42.5335,933.5244,48.5484
169,08:00 28/10/2019,61.0344,3.7776,22.7854,76.3746,58.0932,21.5485,39.4859,1376.4584,51.3162
170,09:00 28/10/2019,133.2197,5.0304,19.2489,83.1635,56.6889,73.4195,59.8002,1675.434,49.4546
171,10:00 28/10/2019,79.269,7.9603,15.8659,76.8358,47.7506,34.6667,44.6023,885.9375,40.2878
172,11:00 28/10/2019,83.2216,9.6187,14.5867,74.1904,40.7737,40.441,42.7805,747.8819,33.0527
173,12:00 28/10/2019,65.4187,8.0847,15.5879,58.4682,34.5082,32.7353,32.6834,654.5139,28.7326
174,13:00 28/10/2019,50.7769,6.3595,17.6678,34.035,17.9583,27.4261,23.3508,611.4583,14.3882
175,14:00 28/10/2019,35.4334,7.3156,35.9923,26.4899,12.4338,11.3399,24.0934,453.5764,9.403
176,15:00 28/10/2019,60.2788,6.9129,39.8777,19.3466,10.6699,21.3421,38.9367,510.2951,8.3024
177,16:00 28/10/2019,59.4263,6.9244,42.9805,32.5173,20.4156,22.3516,37.0747,511.0764,16.6432
178,17:00 28/10/2019,42.7952,7.1436,44.5851,42.301,27.0537,11.5793,31.2159,544.5139,22.6046
179,18:00 28/10/2019,51.1429,6.4835,31.0735,81.3368,52.5312,15.2324,35.9105,710.6076,43.6885
180,19:00 28/10/2019,50.1893,8.5649,31.0098,70.6317,40.4541,13.9008,36.2885,615.2257,32.9795
181,20:00 28/10/2019,57.8135,9.1711,29.5335,100.0394,66.3436,17.0781,40.7354,1046.7187,56.9844
182,21:00 28/10/2019,53.5445,13.1008,22.1839,79.684,57.1333,16.9385,36.606,1006.0938,49.7349
183,22:00 28/10/2019,52.7019,12.7727,16.6827,36.0907,23.7544,16.5116,36.1903,756.2152,20.0836
184,23:00 28/10/2019,59.0618,31.0068,23.3688,174.484,144.0792,21.4787,37.5831,2920.2951,126.9787
185,00:00 29/10/2019,100.3391,51.8407,19.3498,985.7361,858.6033,44.88,55.4591,1943.9409,736.3711
186,01:00 29/10/2019,64.1338,22.4562,8.7256,1176.2273,1013.85,25.714,38.4198,1290.9722,872.3293
187,02:00 29/10/2019,60.8059,16.8867,13.3205,1225.5377,1070.6557,24.9916,35.8143,1457.5521,924.033
188,03:00 29/10/2019,60.8853,15.1123,8.0255,1078.6098,903.1724,22.4135,38.4717,1069.9305,764.375
189,04:00 29/10/2019,75.7875,19.1926,11.7073,1151.7256,1004.2214,31.9341,43.8535,2082.0834,874.0687
190,05:00 29/10/2019,73.9538,27.7936,11.5252,963.9877,819.5207,35.6823,38.2714,2170.8853,694.6402
191,06:00 29/10/2019,58.6573,43.5268,9.4018,823.0002,692.9059,25.7174,32.9399,1342.6562,590.0696
192,07:00 29/10/2019,29.2123,32.2084,9.5236,118.5101,90.7894,6.5852,22.6271,619.5486,75.6922
193,08:00 29/10/2019,52.4629,33.1236,9.6515,61.4564,38.1611,20.5779,31.8849,996.493,31.2614
194,09:00 29/10/2019,61.2832,35.4771,13.0729,61.3463,36.5203,27.3862,33.897,908.4201,28.2409
195,10:00 29/10/2019,38.869,36.8304,30.5955,47.6663,24.979,13.6881,25.1809,921.875,20.1547
196,11:00 29/10/2019,33.8374,30.9579,49.6015,47.0299,19.5534,9.1059,24.7316,681.059,15.0039
197,12:00 29/10/2019,35.422,19.0555,61.2868,73.5809,21.3404,7.9589,27.4631,343.559,13.8758
198,13:00 29/10/2019,27.8614,13.7649,83.6794,73.3316,23.9673,5.6611,22.2003,363.0903,16.0609
199,14:00 29/10/2019,23.6202,14.1685,96.2716,63.4106,23.6614,4.5942,19.026,503.8541,16.7792
200,15:00 29/10/2019,26.0406,13.0436,95.3888,54.9402,17.7024,5.2033,20.8373,246.5278,11.536
201,16:00 29/10/2019,36.283,16.3433,98.1048,65.5772,19.3276,6.268,30.0149,340.0868,12.3239
202,17:00 29/10/2019,55.8087,27.1986,96.0147,65.264,26.6006,9.1755,46.6332,490.1215,20.0075
203,18:00 29/10/2019,60.3073,34.5015,92.6794,67.7107,27.5326,9.4303,50.877,569.0451,20.1162
204,19:00 29/10/2019,76.2907,25.8218,54.9828,116.1414,58.7955,10.3251,65.9656,594.9479,45.8123
205,20:00 29/10/2019,99.6906,21.2383,35.1047,144.9129,66.6248,28.4878,71.2028,1138.0728,49.332
206,21:00 29/10/2019,85.8859,14.905,16.7577,142.8685,65.2553,20.6637,65.2222,1458.6979,49.1003
207,22:00 29/10/2019,113.2256,9.5536,2.1582,193.3284,102.7563,46.3716,66.854,1764.7048,79.1572
208,23:00 29/10/2019,111.549,9.0503,2.0763,204.7965,113.7575,43.7296,67.8194,1544.2882,90.917
209,00:00 30/10/2019,84.1779,12.3699,4.3247,269.0643,205.4037,22.2139,61.964,1434.1667,171.9941
210,01:00 30/10/2019,53.0003,14.1149,2.4139,113.6831,85.6618,5.4596,47.5407,888.368,74.4842
211,02:00 30/10/2019,43.9303,10.9892,2.8823,100.2472,74.6622,6.2565,37.6738,965.8333,63.2606
212,03:00 30/10/2019,32.1454,9.2068,5.3134,88.1305,66.2556,4.4192,27.7261,626.9271,56.1794
213,04:00 30/10/2019,40.2712,7.8579,3.5294,106.4322,66.8792,4.3727,35.8985,807.2743,51.0738
214,05:00 30/10/2019,36.7179,7.6016,5.167,111.7139,76.9939,4.2418,32.476,1078.9238,61.1813
215,06:00 30/10/2019,35.7553,7.774,5.7578,120.4109,97.1815,5.3758,30.3795,1081.8055,80.8064
216,07:00 30/10/2019,37.9808,7.9079,6.7403,103.1513,80.6075,6.6859,31.295,1060.3646,67.8855
217,08:00 30/10/2019,55.3618,8.5085,4.7792,111.0268,77.7247,21.5738,33.788,866.2153,62.1187
218,09:00 30/10/2019,74.9278,10.6122,12.7949,95.6144,47.8397,27.6786,47.2491,686.9792,37.1129
219,10:00 30/10/2019,51.5216,10.3127,28.126,66.7171,30.2971,15.1033,36.4183,507.6042,23.8695
220,11:00 30/10/2019,96.9429,12.9745,36.8123,131.4581,53.5266,30.7519,66.191,638.3333,39.3336
221,12:00 30/10/2019,45.0721,10.9053,87.3594,100.1678,28.8018,7.8747,37.1974,376.0069,17.4794
222,13:00 30/10/2019,58.3512,8.8422,86.432,131.5218,30.5405,10.5464,47.8049,544.9827,14.5089
223,14:00 30/10/2019,42.8619,9.9981,102.1601,133.4762,31.0635,7.346,35.5159,298.941,13.1889
224,15:00 30/10/2019,63.2901,9.8924,101.3675,101.1499,32.9024,14.8844,48.4056,341.9097,20.4078
225,16:00 30/10/2019,57.081,15.5004,111.564,72.6807,25.486,10.4728,46.6081,380.1562,16.5721
226,17:00 30/10/2019,101.4157,21.8933,77.4861,132.503,35.0025,33.3829,68.0328,499.0972,18.1452
227,18:00 30/10/2019,100.9743,32.4252,78.7788,126.3966,43.3796,18.1094,82.8649,831.7188,28.1277
228,19:00 30/10/2019,131.3996,50.1144,44.425,201.3679,89.0998,23.0754,108.3242,1301.9098,63.0712
229,20:00 30/10/2019,145.6055,15.301,13.1949,334.9387,164.3736,38.0378,107.5677,1649.7396,120.8647
230,21:00 30/10/2019,154.1265,7.917,5.8424,402.3751,252.9347,50.8271,103.2994,2460.2952,215.8786
231,22:00 30/10/2019,95.108,9.4217,4.3479,312.499,192.0775,17.6962,77.4118,2384.1145,157.6171
232,23:00 30/10/2019,108.2877,8.271,1.7239,357.5901,239.7117,22.4604,85.8272,2294.5138,202.3064
233,00:00 31/10/2019,93.0571,8.1713,0.5343,249.3476,177.2587,15.6907,77.3665,1409.7918,152.2119
234,01:00 31/10/2019,73.3329,9.0563,1.2322,214.6933,144.1509,14.338,58.9949,1225.1215,119.8423
235,02:00 31/10/2019,36.6394,8.7107,6.3754,97.6617,69,4.3351,32.3043,676.684,58.4995
236,03:00 31/10/2019,31.3888,7.6819,8.6369,142.2536,112.7704,3.819,27.5698,727.0486,99.5511
237,04:00 31/10/2019,39.0157,6.7734,6.9856,146.6483,110.6416,5.8322,33.1835,788.1597,90.3457
238,05:00 31/10/2019,42.8934,6.1307,6.2939,245.368,193.6898,6.7151,36.1784,1070.3473,160.2524
239,06:00 31/10/2019,39.8166,6.3917,6.0784,184.3376,141.9979,6.5284,33.2882,671.3542,115.0329
240,07:00 31/10/2019,61.4514,8.0898,8.6348,132.4347,92.2197,22.3179,39.1336,697.1701,79.5267
241,08:00 31/10/2019,104.501,31.5514,9.3292,176.496,106.8535,48.9859,55.5151,1579.0972,87.3157
242,09:00 31/10/2019,73.6126,50.9962,12.4824,121.3143,63.0126,24.71,48.9026,1099.5486,49.5768
243,10:00 31/10/2019,69.0745,35.1057,18.3227,99.1544,44.4966,21.6082,47.4662,795.5555,33.7004
244,11:00 31/10/2019,59.3777,23.817,34.9285,100.812,38.046,14.3454,45.0322,521.9618,26.7461
245,12:00 31/10/2019,67.2436,18.1535,56.5618,104.5346,37.3088,14.9356,52.308,375.2951,25.1571
246,13:00 31/10/2019,51.7172,13.5083,78.176,204.095,47.1061,9.461,42.2562,381.7708,23.6092
247,14:00 31/10/2019,44.8651,16.0331,80.2473,98.7541,33.1214,6.1495,38.7156,286.1458,19.9721
