No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3}
906,20:00 28/11/2019,75.4176,12.925,18.7474,172.4298,85.9771,18.5832,56.8345,1218.2766,69.169
907,21:00 28/11/2019,62.2036,8.2619,18.6999,198.5469,94.4323,13.9835,48.2201,1279.4129,74.0212
908,22:00 28/11/2019,38.1708,7.1171,29.2961,130.8907,54.0147,3.8939,34.2769,909.072,40.2007
909,23:00 28/11/2019,32.7442,6.5832,29.5757,91.0546,51.8725,2.3631,30.3811,713.3712,42.8209
910,00:00 29/11/2019,24.0483,6.6278,36.4722,65.2174,37.3137,1.5635,22.4848,583.8258,30.2272
911,01:00 29/11/2019,17.072,6.3163,41.2765,51.0793,30.4273,0.9067,16.1653,507.8599,25.3592
912,02:00 29/11/2019,16.3274,6.289,40.1965,47.7173,26.2513,0.7021,15.6253,431.4773,20.7354
913,03:00 29/11/2019,18.8928,5.6598,37.1168,51.1215,27.0341,1.0472,17.8455,441.1364,20.8371
914,04:00 29/11/2019,20.7366,5.9436,36.7125,47.5287,27.1321,1.0141,19.7224,417.7652,21.2801
915,05:00 29/11/2019,21.1958,6.0619,37.7759,44.5046,25.9299,0.699,20.4967,414.697,20.4477
916,06:00 29/11/2019,28.5322,6.8436,34.0825,46.8429,24.9402,2.2563,26.276,446.8561,19.2922
917,07:00 29/11/2019,30.6391,5.7742,32.1846,48.1842,26.482,3.3831,27.256,527.8409,20.8518
918,08:00 29/11/2019,61.1962,8.6155,22.9652,56.4748,30.5377,18.1182,43.078,765.0757,24.4323
919,09:00 29/11/2019,126.9773,9.9818,16.7674,142.6046,48.8969,60.7623,66.215,1006.4393,34.3273
920,10:00 29/11/2019,113.5188,9.5047,17.4226,140.8552,43.7056,48.4499,65.0689,965.7008,28.6408
921,11:00 29/11/2019,82.3211,10.3965,32.0515,130.8361,40.4099,28.7077,53.6134,936.4961,26.8117
922,12:00 29/11/2019,85.4559,12.308,39.2338,145.7254,45.2514,29.1482,56.3076,906.9128,30.4886
923,13:00 29/11/2019,83.6888,12.2716,55.2527,196.2098,53.6797,22.8596,60.8292,832.2159,32.8429
924,14:00 29/11/2019,53.1236,12.4349,89.368,130.2968,46.6066,7.7277,45.3959,659.7917,32.0422
925,15:00 29/11/2019,56.814,17.4048,121.2941,124.2631,51.0719,5.5194,51.2946,930.9849,38.501
926,16:00 29/11/2019,94.1473,16.3271,114.7219,149.3063,59.4086,21.8126,72.3347,916.0417,43.6887
927,17:00 29/11/2019,181.9831,14.2493,70.6047,274.6979,85.7282,32.9427,149.0404,1212.4242,52.1375
928,18:00 29/11/2019,185.6639,11.3091,40.5787,302.7687,94.7629,31.0064,154.6575,1305.5113,56.3099
929,19:00 29/11/2019,148.9435,10.9183,24.6861,253.9107,101.128,20.8246,128.1189,1191.9885,72.0818
930,20:00 29/11/2019,97.5309,8.6745,33.7987,161.5218,86.2225,6.5465,90.9844,978.485,70.6625
931,21:00 29/11/2019,52.2403,7.1227,62.9915,110.6053,70.2465,2.2839,49.9564,787.9167,61.3159
932,22:00 29/11/2019,61.1849,6.25,48.902,103.3503,65.4453,2.3539,58.8309,772.6136,56.5983
933,23:00 29/11/2019,55.1977,5.7408,58.8607,83.604,58.2317,2.5076,52.6901,783.4091,51.4112
934,00:00 30/11/2019,59.3098,5.598,53.4439,76.2378,54.5149,2.1764,57.1334,773.9375,48.3074
935,01:00 30/11/2019,69.1588,5.593,52.5428,94.8747,70.5149,1.8066,67.3522,871.8939,62.7254
936,02:00 30/11/2019,57.5301,5.145,41.9869,102.4408,68.0937,2.2427,55.2875,886.7803,57.5055
937,03:00 30/11/2019,50.3599,5.2212,59.0783,94.6504,61.7257,2.267,48.0929,786.0038,52.2098
938,04:00 30/11/2019,39.9689,5.2481,54.4322,106.651,82.1687,1.9042,38.0647,779.2992,71.0006
939,05:00 30/11/2019,44.7505,5.0652,30.9696,162.6927,132.4252,2.3198,42.4307,1106.4205,115.5978
940,06:00 30/11/2019,61.2985,5.2451,19.6299,167.5915,139.2111,6.93,54.3684,1340.3977,125.5431
941,07:00 30/11/2019,57.5339,5.0245,23.0298,154.5286,121.7076,10.1397,47.3942,1084.6591,106.5202
942,08:00 30/11/2019,46.1999,5.7307,29.2457,130.4956,102.3937,4.8469,41.353,1303.8542,89.5919
943,09:00 30/11/2019,67.7421,5.9087,21.5092,183.8817,124.3875,16.5955,51.1466,1303.2639,108.4489
944,10:00 30/11/2019,91.7105,7.1667,17.6015,243.2866,157.5854,30.2553,61.4551,1429.1839,135.093
945,11:00 30/11/2019,78.331,9.0602,25.1335,206.0392,144.0252,17.623,60.708,1350.6597,124.8943
946,12:00 30/11/2019,110.6373,10.9466,37.6498,207.3801,135.3076,30.5635,80.0738,1466.9445,116.703
947,13:00 30/11/2019,95.1422,11.1504,67.8376,193.7419,97.0893,13.8297,81.3124,1409.8786,79.2639
948,14:00 30/11/2019,76.7361,11.6593,88.3258,136.433,71.3267,7.6763,69.0598,949.2881,58.2071
949,15:00 30/11/2019,69.4474,10.8902,96.6341,163.2092,68.3846,5.1731,64.2742,778.8021,51.3844
950,16:00 30/11/2019,127.3019,9.8551,68.2644,174.8171,67.9706,17.9575,109.3444,828.8715,48.1419
951,17:00 30/11/2019,119.1401,9.2009,66.9557,195.0349,79.0645,9.8553,109.2848,926.9445,57.7845
952,18:00 30/11/2019,126.2109,8.6853,63.4364,187.8835,88.7395,13.0968,113.1141,1066.5971,70.369
953,19:00 30/11/2019,140.8765,8.7349,29.1874,203.1847,102.4661,25.1447,115.7318,1144.2882,82.395
954,20:00 30/11/2019,143.1378,7.7117,23.1018,149.9241,83.5934,31.8546,111.2832,1356.5624,68.7822
955,21:00 30/11/2019,101.7726,8.0084,29.2005,219.1415,92.9165,15.3771,86.3955,1013.8367,70.2378
956,22:00 30/11/2019,113.9988,8.5339,17.9074,131.6833,79.4296,13.6338,100.365,962.934,65.7564
957,23:00 30/11/2019,137.179,12.3016,8.1011,103.6594,63.4549,10.9927,126.1864,818.7674,51.3037
958,1/12/2019 0:00,147.2703,15.7614,6.4225,118.5603,77.8464,12.5091,134.7612,659.5833,63.6929
959,1/12/2019 1:00,149.3716,16.3763,6.5915,112.8303,77.9137,17.0441,132.3275,613.7326,64.812
960,1/12/2019 2:00,164.4587,30.3943,5.6153,129.701,95.4086,29.7728,134.6859,748.8542,79.0643
961,1/12/2019 3:00,156.6608,29.1974,5.7507,101.5888,74.0807,20.5876,136.0732,664.2187,61.5224
962,1/12/2019 4:00,137.2062,29.6876,6.7341,136.2265,105.5947,11.387,125.8192,696.9618,89.5857
963,1/12/2019 5:00,91.6465,31.4922,11.2394,116.223,88.894,7.0331,84.6134,816.1805,77.095
964,1/12/2019 6:00,41.2285,15.5262,27.6614,85.5694,67.4752,5.2669,35.9615,1265.816,59.8785
965,1/12/2019 7:00,36.9412,16.132,43.2002,93.411,68.8958,3.4699,33.4714,876.5104,59.118
966,1/12/2019 8:00,80.4061,11.7677,30.6047,95.0697,59.4025,15.6121,64.794,1027.9168,48.8256
967,1/12/2019 9:00,143.845,10.6487,27.9784,160.6319,69.5739,55.0934,88.7516,1117.2048,52.8868
968,1/12/2019 10:00,94.9268,11.243,32.909,168.1819,71.5022,16.9681,77.9587,1066.198,53.2539
969,1/12/2019 11:00,98.2418,10.375,38.1308,148.219,69.1629,22.8719,75.3698,943.4027,53.5977
970,1/12/2019 12:00,71.0091,11.9909,58.0902,139.6994,62.2611,11.7674,59.2416,899.1145,47.53
971,1/12/2019 13:00,79.5017,12.5844,60.7692,172.0473,67.8454,14.458,65.0436,782.2569,50.2483
972,1/12/2019 14:00,44.4556,12.4275,74.9487,132.0613,61.5117,5.3044,39.1512,670.5729,47.6922
973,1/12/2019 15:00,55.7521,10.213,57.1315,222.7656,79.2125,14.8744,40.8777,758.316,57.4238
974,1/12/2019 16:00,71.4491,9.9917,54.5831,267.6898,89.3026,21.9338,49.5154,847.8819,63.0781
975,1/12/2019 17:00,77.6477,9.492,50.0527,224.8136,85.0951,19.837,57.8107,908.2812,63.7602
976,1/12/2019 18:00,57.9416,9.7669,42.1927,208.6315,71.4124,13.1097,44.832,910.5903,51.9261
977,1/12/2019 19:00,47.5229,8.557,40.1479,213.7584,58.9708,11.6921,35.8309,902.8472,38.5799
978,1/12/2019 20:00,38.1108,7.7391,38.5823,133.1878,43.3104,7.5047,30.606,870.0695,30.0508
979,1/12/2019 21:00,20.8257,6.3341,37.9353,107.531,34.5072,1.9298,18.8959,739.3924,23.8038
980,1/12/2019 22:00,19.0157,6.2562,40.0643,76.1495,21.213,2.607,16.4086,632.8993,12.5542
981,1/12/2019 23:00,15.7347,5.4991,46.1677,59.592,15.1734,2.382,13.3527,590.816,8.5246
982,2/12/2019 0:00,13.3833,5.1901,46.7585,35.3232,12.0879,0.7087,12.6746,569.0452,7.9352
983,2/12/2019 1:00,11.4857,5.2088,46.4516,56.3,15.4004,0.539,10.9467,559.1146,8.9817
984,2/12/2019 2:00,9.7035,4.5311,44.7726,33.6428,13.1977,0.6413,9.0621,540.7465,9.6152
985,2/12/2019 3:00,8.8114,4.2582,46.1959,63.9798,16.9436,0.4465,8.3649,547.4826,10.1131
986,2/12/2019 4:00,7.9355,4.0481,44.1491,56.8326,20.0726,0.2887,7.6469,547.6042,14.2914
987,2/12/2019 5:00,9.5662,4.4898,44.1247,78.2766,30.1261,0.5756,8.9905,573.4896,22.1597
988,2/12/2019 6:00,11.6189,4.5629,45.0473,33.4809,17.5505,1.1424,10.4765,555.3646,14.7695
989,2/12/2019 7:00,11.4129,4.4,49.3328,27.6108,16.2984,0.8308,10.5821,579.7743,14.1695
990,2/12/2019 8:00,27.947,5.3383,42.0555,39.9211,19.9498,4.8646,23.0824,716.2153,16.4579
991,2/12/2019 9:00,66.8915,7.1063,32.9537,243.1517,81.8145,27.8767,39.0149,986.059,57.6829
992,2/12/2019 10:00,33.0962,8.2443,44.3402,167.4944,78.9555,5.2097,27.8865,864.8214,63.8427
993,2/12/2019 11:00,45.221,6.289,52.6691,281.036,70.6954,11.0499,34.1711,768.5795,42.7035
994,2/12/2019 12:00,41.125,5.7148,56.6853,224.3671,48.7872,9.8407,31.2843,680.7576,26.3207
995,2/12/2019 13:00,47.2674,6.5923,55.0465,210.4808,39.7668,12.0823,35.185,593.125,18.5051
996,2/12/2019 14:00,35.0859,9.6946,83.0433,165.3283,32.9721,10.584,24.5019,590.5382,15.1987
997,2/12/2019 15:00,27.1304,10.7067,93.2009,86.82,21.3079,4.8813,22.2491,690.3299,12.439
998,2/12/2019 16:00,104.6857,72.8641,76.5953,98.7085,34.4209,44.2345,60.4512,1079.7223,25.1555
999,2/12/2019 17:00,91.6131,83.3754,73.5406,89.9215,39.2375,29.151,62.4621,1293.1248,31.268
1000,3/12/2019 2:00,15.9026,8.0124,57.9801,32.8813,21.1529,0.6209,15.2818,749.6007,18.0659
1001,3/12/2019 3:00,15.4104,7.6275,57.5199,37.5378,26.9009,0.6661,14.7443,742.4479,23.5757
1002,3/12/2019 4:00,20.3767,6.9883,46.9052,42.7681,28.6325,0.8574,19.5193,700.2604,23.6649
1003,3/12/2019 5:00,23.8053,10.2098,37.4329,82.7392,67.9618,1.6093,22.196,706.5972,61.9391
1004,3/12/2019 6:00,19.6735,8.4183,39.3589,44.5642,33.9583,1.7703,17.9032,570.2951,30.4125
1005,3/12/2019 7:00,27.8505,8.7985,38.6353,62.9515,45.2918,4.0187,23.8318,792.6563,40.9118
1006,3/12/2019 8:00,47.9568,11.3927,29.1707,91.7616,68.6046,11.0096,36.9472,977.361,60.9412
1007,3/12/2019 9:00,113.3924,8.3599,28.504,120.8177,38.2698,50.4681,62.9243,866.632,26.4982
1008,3/12/2019 10:00,41.7417,9.6096,50.8475,270.5336,70.6744,9.647,32.0947,720.8902,43.4472
1009,3/12/2019 11:00,52.1228,13.185,58.5065,153.1132,37.8117,14.8042,37.3187,656.572,22.5392
1010,3/12/2019 12:00,66.5442,18.2927,63.7046,100.1782,37.9274,20.3444,46.1997,817.7462,27.8998
1011,3/12/2019 13:00,60.17,14.4702,84.8871,98.9212,37.9276,15.4975,44.6724,576.0833,28.5219
