No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
190,05:00 14/11/2019,0.0,-9999.0,-9999.0,15.3875,11.419,-9999.0,-9999.0,-9999.0,10.2693,,,,,,,,,
191,06:00 14/11/2019,0.0,-9999.0,-9999.0,13.9147,10.844,-9999.0,-9999.0,-9999.0,9.984,,,,,,,,,
192,07:00 14/11/2019,0.0,-9999.0,-9999.0,14.6242,10.87,-9999.0,-9999.0,-9999.0,9.8973,,,,,,,,,
193,08:00 14/11/2019,0.0,-9999.0,-9999.0,18.7012,13.1858,-9999.0,-9999.0,-9999.0,11.3427,,,,,,,,,
194,09:00 14/11/2019,0.0,-9999.0,-9999.0,21.9939,15.8966,-9999.0,-9999.0,-9999.0,14.0635,,,,,,,,,
195,10:00 14/11/2019,0.0,-9999.0,-9999.0,20.4971,16.1158,-9999.0,-9999.0,-9999.0,14.5755,,,,,,,,,
196,11:00 14/11/2019,0.0,-9999.0,-9999.0,18.9445,14.7421,-9999.0,-9999.0,-9999.0,13.1681,,,,,,,,,
197,12:00 14/11/2019,0.0,-9999.0,-9999.0,26.1146,17.6088,-9999.0,-9999.0,-9999.0,14.7788,,,,,,,,,
198,13:00 14/11/2019,0.0,-9999.0,-9999.0,28.0664,18.449,-9999.0,-9999.0,-9999.0,16.0727,,,,,,,,,
199,14:00 14/11/2019,0.0,-9999.0,-9999.0,35.61,25.321,-9999.0,-9999.0,-9999.0,21.7102,,,,,,,,,
200,15:00 14/11/2019,0.0,-9999.0,-9999.0,33.3697,23.627,-9999.0,-9999.0,-9999.0,20.4723,,,,,,,,,
201,16:00 14/11/2019,0.0,-9999.0,-9999.0,31.6012,22.5091,-9999.0,-9999.0,-9999.0,19.9978,,,,,,,,,
202,17:00 14/11/2019,0.0,-9999.0,-9999.0,35.6186,24.4946,-9999.0,-9999.0,-9999.0,21.4358,,,,,,,,,
203,18:00 14/11/2019,0.0,-9999.0,-9999.0,35.7519,22.8785,-9999.0,-9999.0,-9999.0,19.7949,,,,,,,,,
204,19:00 14/11/2019,3.1479,-7484.7861,-7483.6865,37.5198,23.9687,-7499.243,-7496.1091,-7378.9375,20.4852,,,,,,,,,
205,20:00 14/11/2019,0.0,-9999.0,-9999.0,88.5828,47.5436,-9999.0,-9999.0,-9999.0,37.3691,,,,,,,,,
206,21:00 14/11/2019,0.0,-9999.0,-9999.0,149.3494,89.0005,-9999.0,-9999.0,-9999.0,70.4392,,,,,,,,,
207,22:00 14/11/2019,0.0,-9999.0,-9999.0,110.2759,61.6333,-9999.0,-9999.0,-9999.0,48.3837,,,,,,,,,
208,23:00 14/11/2019,0.0,-9999.0,-9999.0,86.2878,46.959,-9999.0,-9999.0,-9999.0,36.6531,,,,,,,,,
209,00:00 15/11/2019,0.0,-9999.0,-9999.0,81.0524,46.2161,-9999.0,-9999.0,-9999.0,36.4624,,,,,,,,,
210,01:00 15/11/2019,8.4316,-7254.9717,-7267.8498,92.8622,64.0573,-7271.5679,-7264.0005,-7092.7284,54.2218,,,,,,,,,
211,02:00 15/11/2019,12.7523,-3294.3559,-3322.5061,108.0009,87.103,-3332.8171,-3320.4305,-2938.8142,75.0075,,,,,,,,,
212,03:00 15/11/2019,12.9625,-1772.5902,-1799.1352,64.5058,48.729,-1817.9068,-1805.1307,-1420.4621,41.5308,,,,,,,,,
213,04:00 15/11/2019,18.0285,46.8737,16.7494,251.1437,226.1409,0.4466,17.5819,828.3484,206.9825,,,,,,,,,
214,05:00 15/11/2019,21.0034,40.2996,17.8626,92.483,66.1202,0.2505,20.7529,485.1326,56.5,,,,,,,,,
215,06:00 15/11/2019,32.8026,40.4043,9.8682,73.4784,56.355,6.6941,26.1085,453.5606,49.0429,,,,,,,,,
216,07:00 15/11/2019,22.2964,42.1867,6.8365,169.9683,145.6392,4.0915,18.205,540.1705,133.0611,,,,,,,,,
217,08:00 15/11/2019,25.6434,47.2472,6.1923,88.1411,68.8756,8.1247,17.5188,583.9773,58.9058,,,,,,,,,
218,09:00 15/11/2019,31.3559,64.906,10.8952,125.2753,81.0051,9.2381,22.1178,906.3826,59.8497,,,,,,,,,
219,10:00 15/11/2019,27.9875,94.12,33.0334,96.3629,61.4187,4.904,23.0835,760.2083,48.3757,,,,,,,,,
220,11:00 15/11/2019,24.7757,123.4501,68.1769,137.3787,93.2331,2.6788,22.097,746.7706,76.9608,,,,,,,,,
221,12:00 15/11/2019,1.8832,-9084.6544,-9077.3113,117.173,84.3907,-9089.9318,-9088.185,-9027.7652,73.6853,,,,,,,,,
222,13:00 15/11/2019,20.5155,57.5532,161.9098,124.8868,88.6991,0.5693,19.9462,644.375,76.196,,,,,,,,,
223,14:00 15/11/2019,16.6048,63.0672,181.6336,141.2845,101.8093,0.1705,16.4343,603.4722,87.5129,,,,,,,,,
224,15:00 15/11/2019,13.6878,55.8074,200.1327,115.9321,87.9692,0.0441,13.6437,550.3125,76.178,,,,,,,,,
225,16:00 15/11/2019,13.5048,62.8645,187.558,130.4971,100.7144,0.1155,13.3893,522.1402,89.449,,,,,,,,,
226,17:00 15/11/2019,16.5539,98.7516,190.5544,246.837,173.1761,0.1238,16.4301,626.6435,129.4075,,,,,,,,,
227,18:00 15/11/2019,0.0,-9999.0,-9999.0,221.3558,163.5622,-9999.0,-9999.0,-9999.0,146.2151,,,,,,,,,
228,19:00 15/11/2019,0.0,-9999.0,-9999.0,228.4187,163.0367,-9999.0,-9999.0,-9999.0,139.0383,,,,,,,,,
229,20:00 15/11/2019,7.0781,-8175.2245,-8167.7387,175.7737,122.3075,-8180.9145,-8174.0074,-7960.4507,106.5602,,,,,,,,,
230,21:00 15/11/2019,30.3792,31.3248,83.0939,145.8136,101.1871,0.1216,30.2576,986.0984,88.2279,,,,,,,,,
231,22:00 15/11/2019,17.6209,27.0937,107.8267,97.1532,70.5868,0.0268,17.5941,674.8295,60.925,,,,,,,,,
232,23:00 15/11/2019,19.2994,28.0367,103.7332,96.0643,68.2747,0.0662,19.2332,687.4053,58.3839,,,,,,,,,
233,00:00 16/11/2019,19.2482,33.0092,87.5591,126.1023,90.76,0.0577,19.1906,845.7576,77.0664,,,,,,,,,
234,01:00 16/11/2019,16.8726,42.299,74.4546,113.6195,83.1097,0.0725,16.8002,862.803,71.144,,,,,,,,,
235,02:00 16/11/2019,17.4409,46.8927,69.0942,112.741,85.1883,0.0843,17.3566,916.7993,73.7588,,,,,,,,,
236,03:00 16/11/2019,18.644,50.1778,60.0625,125.7173,95.6461,0.1841,18.4599,862.4811,82.3504,,,,,,,,,
237,04:00 16/11/2019,14.8879,40.4413,62.5814,112.0421,86.7978,0.1446,14.7434,752.2349,75.2357,,,,,,,,,
238,05:00 16/11/2019,18.3014,25.1333,61.8028,124.3269,98.6767,0.1344,18.167,821.3068,86.0807,,,,,,,,,
239,06:00 16/11/2019,27.1496,29.7917,50.6771,152.5516,115.6445,0.2475,26.9021,1043.3524,98.21,,,,,,,,,
240,07:00 16/11/2019,25.1299,35.7379,54.8212,173.0273,135.8861,0.2749,24.855,1076.3447,118.3837,,,,,,,,,
241,08:00 16/11/2019,24.9889,46.7151,54.0199,222.2355,184.4863,0.429,24.5599,1109.5455,167.8261,,,,,,,,,
242,09:00 16/11/2019,25.6603,74.8852,62.4756,192.8662,150.9696,1.1847,24.4756,870.3599,134.4957,,,,,,,,,
243,10:00 16/11/2019,24.2606,100.8531,93.9238,171.7021,127.146,1.4425,22.8181,772.5,110.8356,,,,,,,,,
244,11:00 16/11/2019,19.1091,112.8413,112.086,189.1127,147.4792,0.7772,18.3319,717.2917,129.7936,,,,,,,,,
245,12:00 16/11/2019,3.4451,-7762.1327,-7747.4014,229.4476,174.8781,-7776.8195,-7773.7353,-7603.3029,153.3511,,,,,,,,,
246,13:00 16/11/2019,10.0634,-878.2732,-779.3844,152.2206,104.4267,-908.8979,-899.0388,-484.2986,84.7722,,,,,,,,,
247,14:00 16/11/2019,11.0541,40.2164,136.8659,161.6518,112.5004,0.1866,10.8675,499.0013,94.503,,,,,,,,,
248,15:00 16/11/2019,10.6233,50.6671,144.471,132.2865,97.1346,0.1582,10.4651,404.6212,86.797,,,,,,,,,
249,16:00 16/11/2019,8.9033,52.4078,148.2586,87.7791,55.5385,0.123,8.7802,314.7166,46.9598,,,,,,,,,
250,17:00 16/11/2019,3.3482,-6639.1512,-6618.7312,114.2115,69.7581,-6665.9986,-6662.6532,-6549.5346,54.1587,,,,,,,,,
251,18:00 16/11/2019,0.0,-9999.0,-9999.0,138.4331,85.7604,-9999.0,-9999.0,-9999.0,68.0321,,,,,,,,,
252,19:00 16/11/2019,0.0,-9999.0,-9999.0,94.3023,53.0123,-9999.0,-9999.0,-9999.0,40.5292,,,,,,,,,
253,20:00 16/11/2019,0.0,-9999.0,-9999.0,98.8177,63.7623,-9999.0,-9999.0,-9999.0,52.0998,,,,,,,,,
254,21:00 16/11/2019,16.4976,-879.9311,-833.3989,92.4837,57.9005,-908.9496,-892.5528,-207.428,47.0649,,,,,,,,,
255,22:00 16/11/2019,15.413,31.6388,84.9807,90.3592,60.1855,0.0268,15.3862,662.2917,49.5793,,,,,,,,,
256,23:00 16/11/2019,0.0,-9999.0,-9999.0,92.0429,65.6136,-9999.0,-9999.0,-9999.0,55.7281,,,,,,,,,
257,00:00 17/11/2019,0.0,-9999.0,-9999.0,98.1704,71.0518,-9999.0,-9999.0,-9999.0,60.3614,,,,,,,,,
258,01:00 17/11/2019,2.6512,-8169.1883,-8170.831,94.6574,68.8906,-8180.973,-8178.3759,-8022.8213,57.5649,,,,,,,,,
259,02:00 17/11/2019,14.0904,67.5212,54.3061,100.8105,74.9924,0.1655,13.9249,782.353,62.6476,,,,,,,,,
260,03:00 17/11/2019,0.0,-9999.0,-9999.0,131.8809,106.3776,-9999.0,-9999.0,-9999.0,89.2368,,,,,,,,,
261,04:00 17/11/2019,0.0,-9999.0,-9999.0,84.8602,64.4036,-9999.0,-9999.0,-9999.0,53.1284,,,,,,,,,
262,05:00 17/11/2019,0.0,-9999.0,-9999.0,71.435,52.394,-9999.0,-9999.0,-9999.0,42.4136,,,,,,,,,
263,06:00 17/11/2019,8.6471,-1643.5584,-1614.662,113.176,84.6582,-1666.4224,-1657.9305,-1203.9305,66.4644,,,,,,,,,
264,07:00 17/11/2019,17.3923,33.0439,53.019,289.6465,253.0378,0.3929,16.9994,1223.0902,234.7212,,,,,,,,,
265,08:00 17/11/2019,5.8697,-6652.4788,-6651.1937,358.4932,304.8326,-6665.7401,-6660.3903,-6304.7756,273.4361,,,,,,,,,
266,09:00 17/11/2019,25.4414,79.6577,30.1356,389.1796,321.1035,2.4243,23.0171,1210.3993,292.4093,,,,,,,,,
267,10:00 17/11/2019,5.5244,-7475.007,-7491.9103,312.4552,242.4379,-7498.7925,-7494.1831,-7282.6856,208.9953,,,,,,,,,
268,11:00 17/11/2019,0.0,-9999.0,-9999.0,113.7337,70.7974,-9999.0,-9999.0,-9999.0,54.0664,,,,,,,,,
269,12:00 17/11/2019,16.4437,-2453.4126,-2456.2056,77.5064,43.205,-2496.7129,-2486.3434,-2220.081,32.0297,,,,,,,,,
270,13:00 17/11/2019,0.0,-9999.0,-9999.0,82.7748,51.2184,-9999.0,-9999.0,-9999.0,39.3337,,,,,,,,,
271,14:00 17/11/2019,0.0,-9999.0,-9999.0,90.4139,64.4068,-9999.0,-9999.0,-9999.0,52.8043,,,,,,,,,
272,15:00 17/11/2019,0.0,-9999.0,-9999.0,131.3006,101.2814,-9999.0,-9999.0,-9999.0,88.303,,,,,,,,,
273,16:00 17/11/2019,0.0,-9999.0,-9999.0,132.0791,101.492,-9999.0,-9999.0,-9999.0,89.2278,,,,,,,,,
274,17:00 17/11/2019,1.3636,-9155.2633,-9156.7708,197.1791,152.6684,-9165.7249,-9164.4115,-9120.6458,135.0453,,,,,,,,,
275,18:00 17/11/2019,0.0,-9999.0,-9999.0,131.4461,86.7822,-9999.0,-9999.0,-9999.0,72.044,,,,,,,,,
276,19:00 17/11/2019,0.0,-9999.0,-9999.0,156.3193,103.3902,-9999.0,-9999.0,-9999.0,86.4894,,,,,,,,,
277,20:00 17/11/2019,3.9481,-7490.4189,-7486.5253,150.1793,108.7261,-7499.1689,-7495.383,-7351.2031,91.0117,,,,,,,,,
278,21:00 17/11/2019,13.2758,23.8317,61.3142,82.701,52.4253,0.0529,13.2229,555.9549,40.5762,,,,,,,,,
279,22:00 17/11/2019,11.0717,24.0455,58.3592,68.385,45.5797,0.1016,10.9701,423.9583,35.2972,,,,,,,,,
280,23:00 17/11/2019,0.0,-9999.0,-9999.0,54.8531,37.3629,-9999.0,-9999.0,-9999.0,28.1449,,,,,,,,,
281,00:00 18/11/2019,0.0,-9999.0,-9999.0,56.7548,39.6972,-9999.0,-9999.0,-9999.0,30.0623,,,,,,,,,
282,01:00 18/11/2019,0.0,-9999.0,-9999.0,67.2349,51.5761,-9999.0,-9999.0,-9999.0,41.6793,,,,,,,,,
283,02:00 18/11/2019,0.0,-9999.0,-9999.0,50.4061,35.2619,-9999.0,-9999.0,-9999.0,25.9215,,,,,,,,,
284,03:00 18/11/2019,0.0,-9999.0,-9999.0,41.807,28.1337,-9999.0,-9999.0,-9999.0,20.2524,,,,,,,,,
285,04:00 18/11/2019,1.1349,-9162.032,-9163.5981,61.5903,45.1896,-9165.7277,-9164.6374,-9123.0417,35.5622,,,,,,,,,
286,05:00 18/11/2019,0.0,-9999.0,-9999.0,55.9742,37.3848,-9999.0,-9999.0,-9999.0,27.771,,,,,,,,,
287,06:00 18/11/2019,0.0,-9999.0,-9999.0,55.8782,36.3409,-9999.0,-9999.0,-9999.0,27.9917,,,,,,,,,
288,07:00 18/11/2019,0.0,-9999.0,-9999.0,149.3445,116.6153,-9999.0,-9999.0,-9999.0,100.6679,,,,,,,,,
289,08:00 18/11/2019,0.0,-9999.0,-9999.0,79.6626,52.2669,-9999.0,-9999.0,-9999.0,40.6429,,,,,,,,,
290,09:00 18/11/2019,0.0,-9999.0,-9999.0,123.5953,72.6534,-9999.0,-9999.0,-9999.0,53.9785,,,,,,,,,
291,10:00 18/11/2019,0.0,-9999.0,-9999.0,75.6178,41.9535,-9999.0,-9999.0,-9999.0,30.5556,,,,,,,,,
292,11:00 18/11/2019,0.0,-9999.0,-9999.0,56.0316,30.9306,-9999.0,-9999.0,-9999.0,21.8214,,,,,,,,,
293,12:00 18/11/2019,0.0,-9999.0,-9999.0,51.799,31.0131,-9999.0,-9999.0,-9999.0,23.0664,,,,,,,,,
294,13:00 18/11/2019,0.0,-9999.0,-9999.0,50.9369,32.5641,-9999.0,-9999.0,-9999.0,25.2176,,,,,,,,,
295,14:00 18/11/2019,0.0,-9999.0,-9999.0,47.1626,32.2865,-9999.0,-9999.0,-9999.0,25.8028,,,,,,,,,
296,15:00 18/11/2019,0.0,-9999.0,-9999.0,38.1249,25.6444,-9999.0,-9999.0,-9999.0,20.4555,,,,,,,,,
297,16:00 18/11/2019,0.0,-9999.0,-9999.0,44.3098,28.5791,-9999.0,-9999.0,-9999.0,22.5555,,,,,,,,,
298,17:00 18/11/2019,0.0,-9999.0,-9999.0,54.7254,37.5937,-9999.0,-9999.0,-9999.0,29.6905,,,,,,,,,
299,18:00 18/11/2019,1.9176,-7498.8925,-7430.2722,94.4855,65.2614,-7472.2741,-7497.9406,6538.25,50.3238,,,,,,,,,
300,05:00 19/11/2019,6.0379,27.0008,60.3862,12.5014,8.5535,0.0,6.0379,405.4167,7.6761,,,,,,,,,
301,06:00 19/11/2019,6.8113,29.7976,59.9707,22.6435,17.6645,0.0,6.8113,412.8472,14.8743,,,,,,,,,
302,07:00 19/11/2019,6.4504,31.8604,59.7067,24.3562,19.4634,0.0,6.4504,417.7604,15.9036,,,,,,,,,
303,08:00 19/11/2019,7.2329,36.0145,59.7064,12.2276,9.0314,0.0171,7.2158,363.9757,8.2157,,,,,,,,,
304,09:00 19/11/2019,16.7174,41.3274,52.2502,24.5615,17.2426,0.0875,16.6299,503.7311,15.0387,,,,,,,,,
305,10:00 19/11/2019,16.5971,44.7573,56.1369,23.2722,15.2827,0.5541,16.043,407.8788,13.3711,,,,,,,,,
306,11:00 19/11/2019,10.3494,42.4029,64.2579,23.4362,16.4525,0.0144,10.335,387.7381,14.3517,,,,,,,,,
307,12:00 19/11/2019,10.7408,40.5171,70.0285,21.5407,13.7812,0.0329,10.7079,350.6597,11.9328,,,,,,,,,
308,13:00 19/11/2019,10.1562,38.5552,76.419,21.0638,13.6658,0.0912,10.0651,314.5455,11.9039,,,,,,,,,
309,14:00 19/11/2019,11.1109,44.4396,83.1205,25.7076,16.0156,0.5228,10.5881,330.1136,13.754,,,,,,,,,
310,15:00 19/11/2019,9.4039,47.3759,88.4773,29.2795,23.066,0.0,9.4039,326.4583,20.2047,,,,,,,,,
311,16:00 19/11/2019,8.8632,48.5624,91.5787,28.4231,18.3554,0.0452,8.8179,327.5174,15.887,,,,,,,,,
312,17:00 19/11/2019,9.8869,47.817,90.4336,30.9952,19.4969,0.0187,9.8682,334.7727,16.7071,,,,,,,,,
313,18:00 19/11/2019,12.4948,42.1961,81.1926,34.8763,20.2317,0.0125,12.4823,358.5069,16.9311,,,,,,,,,
314,19:00 19/11/2019,21.2824,38.2777,49.2956,70.5018,45.6678,0.0,21.2824,460.2679,37.5191,,,,,,,,,
315,21:00 19/11/2019,74.933,27.2955,4.1939,110.4295,79.2802,22.7428,52.1902,661.5972,69.0006,,,,,,,,,
316,22:00 19/11/2019,80.1738,32.9627,6.157,155.1761,123.1106,29.2049,50.9689,813.6806,105.1772,,,,,,,,,
317,23:00 19/11/2019,48.3235,36.9684,8.3577,196.4629,169.9037,4.1536,44.1699,902.1667,154.3149,,,,,,,,,
318,02:00 20/11/2019,20.7532,40.1332,15.0578,383.9193,342.5664,0.0032,20.75,644.6065,277.5533,,,,,,,,,
319,03:00 20/11/2019,17.038,36.9623,11.5427,149.8768,132.3984,0.0084,17.0297,639.4965,114.5914,,,,,,,,,
320,04:00 20/11/2019,13.6344,33.7071,16.3484,73.9566,63.5866,0.0052,13.6291,712.6042,57.6177,,,,,,,,,
321,05:00 20/11/2019,13.6844,35.1526,19.5025,76.5256,66.2127,0.0002,13.6842,866.3368,60.3653,,,,,,,,,
322,06:00 20/11/2019,25.4585,48.5092,11.6377,66.5139,53.7173,1.7779,23.6806,921.7187,46.0959,,,,,,,,,
323,07:00 20/11/2019,28.1069,61.7756,9.7126,94.3903,72.8137,1.9951,26.1118,760.0694,59.4378,,,,,,,,,
324,08:00 20/11/2019,23.1664,65.4042,17.7101,83.1827,64.5503,0.1465,23.0199,552.1528,54.977,,,,,,,,,
325,09:00 20/11/2019,65.5039,71.2887,5.943,66.2438,42.9875,25.4401,40.0638,543.9931,35.6197,,,,,,,,,
326,10:00 20/11/2019,74.7438,86.6632,17.5424,77.2726,48.5689,36.7741,37.9697,761.5341,40.0861,,,,,,,,,
327,11:00 20/11/2019,15.2612,71.1533,53.249,67.4552,46.358,0.3843,14.8769,504.9242,39.1174,,,,,,,,,
328,12:00 20/11/2019,11.079,58.6436,70.9991,52.391,35.6526,0.1586,10.9204,379.881,30.3863,,,,,,,,,
329,13:00 20/11/2019,9.1808,39.8442,97.8541,48.1597,32.0873,0.0043,9.1765,328.3333,26.9237,,,,,,,,,
330,14:00 20/11/2019,9.6258,38.6406,120.5342,55.904,35.1947,0.0,9.6258,334.0625,28.8777,,,,,,,,,
331,15:00 20/11/2019,10.0141,36.208,143.414,55.9891,35.9497,0.0,10.0141,334.5312,29.3163,,,,,,,,,
332,16:00 20/11/2019,14.7893,34.5178,152.0003,62.1641,36.7218,0.2979,14.4914,338.3854,29.5549,,,,,,,,,
333,02:00 21/11/2019,62.0149,37.5864,5.6578,109.2585,83.7139,21.7417,40.2732,812.9861,72.2548,,,,,,,,,
334,03:00 21/11/2019,29.4966,40.558,15.6118,118.17,85.6535,0.1712,29.3254,723.6111,70.2182,,,,,,,,,
335,04:00 21/11/2019,25.3848,36.0749,12.0553,108.3459,83.2481,0.3648,25.02,644.7049,68.9648,,,,,,,,,
336,05:00 21/11/2019,22.267,40.1917,13.6435,169.0348,137.5714,0.0355,22.2314,806.4584,109.3345,,,,,,,,,
337,06:00 21/11/2019,18.5724,43.6293,17.8551,85.8441,68.88,0.0,18.5724,546.8229,58.3872,,,,,,,,,
338,07:00 21/11/2019,23.2568,54.4044,11.8678,150.379,121.9245,0.0143,23.2424,875.3473,99.1516,,,,,,,,,
339,08:00 21/11/2019,25.614,57.654,8.5675,138.5296,112.6106,0.456,25.1581,1177.0312,93.3636,,,,,,,,,
340,09:00 21/11/2019,30.0866,60.2912,12.5395,102.9414,75.3087,4.714,25.3726,980.1736,63.4124,,,,,,,,,
341,10:00 21/11/2019,21.5026,61.6889,26.6667,86.7943,59.9049,1.195,20.3075,680.1136,50.3339,,,,,,,,,
342,11:00 21/11/2019,30.0993,62.373,34.1425,119.7208,73.8154,4.6772,25.4221,652.7865,59.2924,,,,,,,,,
343,12:00 21/11/2019,16.6665,54.6624,69.1585,155.1391,114.5032,0.4109,16.2555,569.072,99.5691,,,,,,,,,
344,13:00 21/11/2019,13.6624,42.2549,83.3734,107.1282,75.3098,0.0216,13.6408,488.75,63.571,,,,,,,,,
345,14:00 21/11/2019,9.737,42.0905,107.6872,75.8407,52.1496,0.0007,9.7362,399.0972,43.6426,,,,,,,,,
346,15:00 21/11/2019,10.4225,41.7427,123.9572,76.0989,55.2451,0.0087,10.4138,402.6667,47.4302,,,,,,,,,
347,16:00 21/11/2019,20.0388,38.9883,127.7092,79.1972,51.3038,1.2245,18.8143,407.9735,42.8174,,,,,,,,,
348,17:00 21/11/2019,12.9197,42.1135,141.2257,74.4604,50.2125,0.0514,12.8683,419.0152,42.1926,,,,,,,,,
349,18:00 21/11/2019,18.0204,42.3752,125.0681,88.029,62.2962,0.0,18.0204,506.0606,52.7178,,,,,,,,,
350,19:00 21/11/2019,65.6851,35.8752,52.7909,261.7679,196.0513,4.7355,60.9497,1000.7955,162.2425,,,,,,,,,
351,20:00 21/11/2019,100.4666,29.0021,12.982,284.418,200.3197,14.6119,85.8547,1081.6478,166.4126,,,,,,,,,
352,21:00 21/11/2019,63.5803,36.2492,23.2655,160.3194,108.5749,0.7768,62.8035,721.4962,91.0645,,,,,,,,,
353,22:00 21/11/2019,51.8482,38.2118,21.9118,121.2464,82.7312,1.1321,50.7161,700.8144,71.2641,,,,,,,,,
354,23:00 21/11/2019,57.2124,34.4972,11.167,120.6622,87.2298,5.6087,51.6036,698.9583,75.0504,,,,,,,,,
355,00:00 22/11/2019,40.8195,56.9283,17.521,125.5404,94.9212,0.3539,40.4657,777.0644,83.1751,,,,,,,,,
356,01:00 22/11/2019,40.1117,51.4432,12.0648,131.2422,99.9667,1.2099,38.9018,883.7879,86.9015,,,,,,,,,
357,02:00 22/11/2019,45.8614,60.0314,8.0723,151.5697,113.6328,4.1733,41.6881,995.2083,94.5295,,,,,,,,,
358,03:00 22/11/2019,41.2868,62.4439,10.1689,205.7267,149.8905,3.1677,38.1191,1137.7652,112.1871,,,,,,,,,
359,04:00 22/11/2019,22.5046,56.5199,17.9028,130.2355,101.0083,0.0363,22.4683,794.1667,82.6831,,,,,,,,,
360,05:00 22/11/2019,25.8894,51.4315,22.3112,254.8065,198.5567,0.0311,25.8583,916.9508,149.7728,,,,,,,,,
361,06:00 22/11/2019,37.8676,55.2314,11.0897,234.3334,186.9173,4.0074,33.8602,1277.784,145.8705,,,,,,,,,
362,07:00 22/11/2019,58.0477,55.1785,5.0477,174.574,142.8238,23.0874,34.9603,1211.856,117.1609,,,,,,,,,
363,08:00 22/11/2019,62.5511,51.9874,6.7401,220.0946,180.116,33.2531,29.298,1423.3793,144.3655,,,,,,,,,
364,09:00 22/11/2019,38.635,56.4807,12.7495,192.9107,152.0656,10.2985,28.3365,1108.0301,124.4857,,,,,,,,,
365,10:00 22/11/2019,26.3359,66.4707,43.3311,124.7754,76.6381,2.2027,24.1333,666.5909,61.7506,,,,,,,,,
366,11:00 22/11/2019,27.5854,86.1246,72.7961,124.5215,82.0605,2.2559,25.3296,683.5227,69.5105,,,,,,,,,
367,12:00 22/11/2019,32.6926,101.1422,132.6078,183.5675,119.69,0.8525,31.8401,832.9924,100.367,,,,,,,,,
368,13:00 22/11/2019,33.8088,74.9636,181.6387,194.8718,139.2095,0.1829,33.6258,855.7007,121.1822,,,,,,,,,
369,14:00 22/11/2019,17.9543,65.0286,207.0486,156.2125,120.6655,0.0014,17.9529,567.197,104.6364,,,,,,,,,
370,15:00 22/11/2019,17.9404,64.8379,226.7122,135.397,96.094,0.0,17.9404,589.9053,83.5446,,,,,,,,,
371,16:00 22/11/2019,21.0639,86.3963,199.8231,248.2859,195.1619,0.0004,21.0635,732.5,171.9193,,,,,,,,,
372,17:00 22/11/2019,21.477,101.816,178.3583,282.7031,201.5089,0.0002,21.4767,703.8636,169.3824,,,,,,,,,
373,18:00 22/11/2019,25.3671,103.7825,165.5601,277.1128,205.205,0.0061,25.361,833.5607,177.6927,,,,,,,,,
374,19:00 22/11/2019,39.8078,74.9207,130.2967,276.6655,202.2769,0.0022,39.8056,1115.2272,175.3278,,,,,,,,,
375,20:00 22/11/2019,28.6567,43.0655,127.4575,191.7191,132.4118,0.0,28.6567,888.9394,113.7803,,,,,,,,,
376,21:00 22/11/2019,26.6251,31.8725,123.1702,167.0946,120.7693,0.0,26.6251,1130.2841,104.5406,,,,,,,,,
377,22:00 22/11/2019,20.9975,30.8351,129.0028,131.2677,96.3656,0.0,20.9975,1179.7348,82.738,,,,,,,,,
378,23:00 22/11/2019,24.0292,31.5415,105.3447,240.6481,202.0892,0.0002,24.029,1293.2954,183.754,,,,,,,,,
379,00:00 23/11/2019,25.1984,29.0117,91.696,167.9606,129.6972,0.0002,25.1982,1324.6213,113.2694,,,,,,,,,
380,01:00 23/11/2019,22.4364,43.3602,68.7426,178.3335,144.5872,0.0002,22.4362,1311.7992,126.478,,,,,,,,,
381,02:00 23/11/2019,26.2916,38.0874,59.2565,159.7767,117.9298,0.0028,26.2887,988.2765,101.8051,,,,,,,,,
382,03:00 23/11/2019,31.8856,40.5132,43.4425,199.8421,142.585,0.0181,31.8675,1219.1666,123.9675,,,,,,,,,
383,04:00 23/11/2019,45.0648,41.0414,29.1016,193.0779,151.2318,0.0589,45.0059,1506.4205,133.6019,,,,,,,,,
384,05:00 23/11/2019,40.796,37.1965,31.0069,203.4996,150.96,0.0108,40.7853,992.3674,129.0627,,,,,,,,,
385,06:00 23/11/2019,48.0183,50.3053,36.6917,222.6693,177.6361,0.3042,47.714,1532.1066,151.9937,,,,,,,,,
386,07:00 23/11/2019,43.8413,59.7009,29.6785,257.5399,200.2283,0.0597,43.7816,1369.9652,167.0699,,,,,,,,,
387,08:00 23/11/2019,58.6756,73.1898,16.432,251.8645,199.9693,6.6589,52.0167,1458.1944,178.8059,,,,,,,,,
388,09:00 23/11/2019,73.0305,70.694,13.6941,235.5638,167.5642,16.2739,56.7566,1109.7048,143.2607,,,,,,,,,
389,10:00 23/11/2019,73.6345,104.7157,36.8742,219.1853,161.7928,10.8229,62.8116,1045.7638,139.2655,,,,,,,,,
390,11:00 23/11/2019,61.6642,97.7906,78.129,205.8629,156.5473,4.0963,57.5679,1016.9966,136.0539,,,,,,,,,
391,12:00 23/11/2019,31.5096,84.2234,141.63,282.648,216.6351,0.464,31.0456,812.257,185.2454,,,,,,,,,
392,13:00 23/11/2019,17.7567,58.9978,175.0001,221.6977,164.1126,0.0087,17.748,645.7986,137.7563,,,,,,,,,
