No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
47,23:00 07/11/2019,32.7345,36.7585,56.8958,224.2553,161.4327,0.1697,32.5647,1042.0832,138.9674,,,,,,,,,
48,00:00 08/11/2019,25.575,46.873,45.6551,205.6244,158.8558,0.096,25.479,960.7986,136.0421,,,,,,,,,
49,01:00 08/11/2019,36.0729,59.5794,44.8158,188.8484,150.7768,2.5964,33.4765,798.4375,128.7887,,,,,,,,,
50,02:00 08/11/2019,32.066,64.3127,35.7152,220.8644,184.0875,0.195,31.8709,691.3715,157.4169,,,,,,,,,
51,03:00 08/11/2019,27.6072,57.1098,21.0267,196.7803,157.9534,0.6279,26.9793,817.1528,135.4336,,,,,,,,,
52,04:00 08/11/2019,20.8457,41.6166,21.6622,196.7862,157.6655,0.1973,20.6484,905.0694,137.5626,,,,,,,,,
53,05:00 08/11/2019,20.388,27.6888,23.8724,211.9724,174.9201,0.1738,20.2142,916.8576,151.2333,,,,,,,,,
54,06:00 08/11/2019,13.8506,30.7827,32.1765,109.2386,89.523,0.0255,13.8251,631.2674,79.8883,,,,,,,,,
55,07:00 08/11/2019,14.1509,35.9025,31.2443,101.4295,79.5588,0.0525,14.0984,623.4375,70.3442,,,,,,,,,
56,08:00 08/11/2019,19.6091,42.4015,15.6058,172.9087,133.8214,1.6454,17.9637,781.0938,108.7849,,,,,,,,,
57,09:00 08/11/2019,22.9488,55.4137,50.9085,134.2728,96.0782,2.946,20.0028,651.9618,79.5436,,,,,,,,,
58,10:00 08/11/2019,17.4787,62.9879,93.002,70.1822,48.6869,2.0988,15.3799,427.4306,42.6383,,,,,,,,,
59,11:00 08/11/2019,9.1507,69.5782,119.4979,62.8462,44.4509,0.2894,8.8613,388.1771,38.4774,,,,,,,,,
60,12:00 08/11/2019,6.5152,51.3219,139.5527,54.5341,40.0363,0.1011,6.4142,338.4549,35.189,,,,,,,,,
61,13:00 08/11/2019,6.0681,22.534,148.5519,56.5108,40.1695,0.0333,6.0348,318.9583,35.319,,,,,,,,,
62,14:00 08/11/2019,4.9146,23.8639,148.0495,48.2515,35.105,0.0052,4.9093,291.007,31.0754,,,,,,,,,
63,15:00 08/11/2019,5.5338,24.4139,148.6971,45.4376,33.826,0.0462,5.4876,281.5208,29.9791,,,,,,,,,
64,16:00 08/11/2019,5.6029,27.1303,145.1775,53.4058,34.025,0.0171,5.5857,290.7639,30.0341,,,,,,,,,
65,17:00 08/11/2019,7.1508,41.5146,147.5978,42.3441,30.7341,0.0331,7.1177,339.0624,27.4365,,,,,,,,,
66,18:00 08/11/2019,62.2367,48.796,103.5545,108.261,49.8599,9.6464,52.5903,483.7705,39.5289,,,,,,,,,
67,19:00 08/11/2019,51.8628,51.6329,81.7849,280.0966,173.0803,0.8885,50.9743,961.4237,137.4704,,,,,,,,,
68,20:00 08/11/2019,69.7802,41.4624,47.227,300.5627,190.2304,4.5549,65.2253,1306.8924,155.7144,,,,,,,,,
69,21:00 08/11/2019,73.0333,22.0498,12.8675,331.6145,239.7007,6.8351,66.1981,1500.2604,202.9625,,,,,,,,,
70,22:00 08/11/2019,61.5278,22.2923,10.7586,230.6346,173.0749,6.3177,55.2101,1141.9999,148.3519,,,,,,,,,
71,02:00 09/11/2019,56.5903,45.1376,4.5539,251.6136,205.1748,20.0981,36.4922,1208.3854,171.6115,,,,,,,,,
72,03:00 09/11/2019,52.974,52.1239,4.5283,189.7623,142.5648,9.8146,43.1594,1002.309,120.7077,,,,,,,,,
73,04:00 09/11/2019,39.6511,40.9731,4.4896,174.1091,132.9151,8.6748,30.9763,964.0798,111.088,,,,,,,,,
74,05:00 09/11/2019,41.8926,34.2799,6.6647,160.064,120.0944,10.645,31.2476,908.8194,99.0828,,,,,,,,,
75,06:00 09/11/2019,41.904,37.9363,6.7168,210.5118,171.7442,16.7673,25.1367,1094.8786,138.6077,,,,,,,,,
76,07:00 09/11/2019,26.6842,40.1981,6.4469,187.9441,150.5899,2.9186,23.7656,1479.8264,125.1757,,,,,,,,,
77,08:00 09/11/2019,20.795,46.3638,10.4022,188.6926,153.3239,1.798,18.9969,1144.1069,131.9191,,,,,,,,,
78,09:00 09/11/2019,25.4362,61.2298,18.389,180.123,137.8585,4.5085,20.9277,843.7326,117.268,,,,,,,,,
79,10:00 09/11/2019,26.3459,74.3481,61.5092,152.6502,98.1512,2.9346,23.4113,632.118,81.8199,,,,,,,,,
80,11:00 09/11/2019,13.8743,-2440.6318,-2420.5382,120.8742,79.0121,-2498.8927,-2486.733,-2113.1912,66.1714,,,,,,,,,
81,12:00 09/11/2019,5.0368,-4142.4075,-4064.4574,82.3112,55.9567,-4166.2292,-4161.2341,-3979.5602,48.2919,,,,,,,,,
82,13:00 09/11/2019,8.8612,30.932,189.8426,69.7736,48.6553,0.0703,8.7909,312.0157,42.47,,,,,,,,,
83,14:00 09/11/2019,8.8215,38.9067,219.584,74.3546,51.6364,0.0087,8.8128,323.0903,44.966,,,,,,,,,
84,15:00 09/11/2019,13.89,42.964,238.465,84.6283,56.627,0.3436,13.5464,338.6458,48.2855,,,,,,,,,
85,16:00 09/11/2019,23.7313,51.14,243.0713,113.1734,61.1885,0.4413,23.2901,347.3264,50.3034,,,,,,,,,
86,17:00 09/11/2019,10.2604,-1616.3397,-1452.0762,91.7863,58.7884,-1666.4808,-1656.2587,-1373.0315,49.7409,,,,,,,,,
87,18:00 09/11/2019,0.0,-9999.0,-9999.0,105.377,62.2451,-9999.0,-9999.0,-9999.0,52.067,,,,,,,,,
88,19:00 09/11/2019,0.0,-9999.0,-9999.0,317.8613,169.1478,-9999.0,-9999.0,-9999.0,133.4231,,,,,,,,,
89,20:00 09/11/2019,74.0037,-1636.5381,-1641.9822,324.227,161.0245,-1664.1603,-1594.836,-720.8999,128.4397,,,,,,,,,
