STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10393,05:00 03/04/2025,12.26,13.6542,22.0408,85.035,43.2775,0.3192,12.5075,1908.9917,1017.3833,25.9775,,,,,
10394,06:00 03/04/2025,14.3592,13.6875,10.1708,82.0767,39.6483,0.4675,14.695,2124.3575,1017.955,25.93,,,,,
10395,07:00 03/04/2025,10.9433,18.2217,12.8733,76.6925,36.695,0.0533,11.9675,2770.0367,1018.515,27.0725,,,,,
10396,08:00 03/04/2025,20.6642,25.1667,6.6408,88.3867,45.11,3.285,17.3783,3906.3217,1019.3342,27.6875,,,,,
10397,09:00 03/04/2025,27.45,36.0908,3.7433,121.2533,54.2717,8.2092,19.2425,4722.4325,1019.9017,27.9667,,,,,
10398,10:00 03/04/2025,15.595,24.1792,12.5058,116.55,51.5325,2.1183,13.7217,2989.3967,1019.92,26.7125,,,,,
10399,11:00 03/04/2025,12.81,20.075,35.765,89.8917,43.875,1.0967,12.0517,2583.1,1019.3617,25.505,,,,,
10400,12:00 03/04/2025,13.9467,22.05,49.6217,88.4892,40.6117,1.7933,12.5433,2660.6875,1018.2167,25.5825,,,,,
10401,13:00 03/04/2025,13.38,21.5583,53.1525,88.2583,41.6333,1.5108,12.3692,2425.6167,1016.96,27.4642,,,,,
10402,14:00 03/04/2025,10.4683,16.8567,39.18,90.4742,47.8933,0.2167,10.8783,2088.54,1015.5825,28.0783,,,,,
10403,15:00 03/04/2025,10.4033,12.5725,50.9783,83.4525,46.17,0.8083,10.2608,2239.0658,1014.265,28.3883,,,,,
10404,16:00 03/04/2025,14.0892,10.9375,49.1417,93.7375,50.2725,0.4483,14.0467,2368.9242,1013.3075,26.8942,,,,,
10405,17:00 03/04/2025,13.3158,11.5108,62.935,85.6642,44.0008,0.8617,13.0908,2588.7142,1012.765,25.4792,,,,,
10406,18:00 03/04/2025,18.6958,10.0525,53.1667,87.605,40.9192,3.6,15.7375,3722.345,1012.6233,25.6158,,,,,
10407,19:00 03/04/2025,14.9783,10.2292,47.045,84.4742,38.9233,1.9808,13.6233,3388.2208,1012.9433,27.6408,,,,,
10408,20:00 03/04/2025,19.7733,9.54,26.2975,91.8375,46.5817,4.8833,15.5525,3066.2375,1013.4533,27.9733,,,,,
