No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1668,11:00 12/03/2024,14.2658,5.175,32.6567,97.1942,61.25,4.24,10.0275,2751.2233,1018.8967,28.295,,,,,
7092,18:00 29/10/2024,1.965,7.0533,17.5858,95.8917,48.4533,1.9383,-,4565.0792,1009.0508,27.0475,,,,,
7093,19:00 29/10/2024,1.9683,6.0067,13.5182,106.3867,53.3808,1.9458,-,4533.875,1009.6708,26.9767,,,,,
7094,20:00 29/10/2024,1.9675,6.225,19.159,124.3433,55.1892,1.9442,-,5442.9458,1010.3933,26.9608,,,,,
7095,21:00 29/10/2024,1.9717,6.0117,12.92,154.8583,60.1258,1.9483,-,4793.5983,1010.7358,26.935,,,,,
7096,22:00 29/10/2024,1.965,5.3467,8.2625,144.1383,63.6858,1.9417,-,3154.5475,1010.7458,27.39,,,,,
7097,23:00 29/10/2024,1.9508,4.7258,8.1333,128.5467,61.7633,1.9325,-,2396.1208,1010.8317,28.5333,,,,,
7098,00:00 30/10/2024,1.9467,5.6783,12.6917,118.9942,59.7967,1.9275,-,2008.3342,1010.9642,28.7975,,,,,
7099,01:00 30/10/2024,1.945,5.6725,9.5417,115.3592,57.9517,1.9283,-,1998.4433,1010.535,28.8492,,,,,
7100,02:00 30/10/2024,1.9425,6.4075,21.9208,113.6125,56.9108,1.9258,-,1866.5708,1010.3742,28.8692,,,,,
7101,03:00 30/10/2024,1.94,6.875,27.7733,99.8458,56.4867,1.9258,-,1717.3292,1010.3683,28.765,,,,,
7102,04:00 30/10/2024,1.9442,6.7425,38.68,77.0683,55.4775,1.9258,-,1596.7658,1010.43,28.47,,,,,
7103,05:00 30/10/2024,1.9336,11.0436,39.8545,70.8336,51.5082,1.9236,-,1672.3155,1010.6291,27.1091,,,,,
7104,06:00 30/10/2024,1.93,17.3,29.85,76.13,51.08,1.92,-,1804.59,1010.74,26.92,,,,,
7105,07:00 30/10/2024,1.936,12.748,19.004,85.794,53.306,1.918,-,2277.784,1012.232,26.904,,,,,
7106,08:00 30/10/2024,1.9358,10.2975,21.0967,94.7067,54.7225,1.9208,-,2509.0317,1012.85,26.9442,,,,,
7107,09:00 30/10/2024,1.9342,8.7992,32.8567,97.2425,55.4292,1.9192,-,2145.5883,1013.2742,27.0683,,,,,
7108,10:00 30/10/2024,1.9358,8.2383,57.0467,92.2825,53.5167,1.9183,-,1909.0667,1013.5642,27.4808,,,,,
7109,11:00 30/10/2024,1.9408,7.5142,83.1983,68.6925,44.6842,1.925,-,1789.6775,1013.0333,28.7383,,,,,
7110,12:00 30/10/2024,1.9375,7.3433,116.0725,47.9108,35.8308,1.9267,-,1797.5383,1012.115,29.0658,,,,,
7111,13:00 30/10/2024,1.9375,7.1525,143.0867,53.265,37.9717,1.9308,-,1671.7067,1011.0742,28.955,,,,,
7112,14:00 30/10/2024,1.945,7.0708,160.1275,58.6583,39.9808,1.935,-,1655.9183,1009.935,29.2875,,,,,
7113,15:00 30/10/2024,1.9525,6.8658,155.2892,54.2625,41.8617,1.94,-,1560.2092,1009.34,30.1025,,,,,
7114,16:00 30/10/2024,1.9558,6.5642,145.175,49.495,43.0008,1.9425,-,1563.8917,1009.1375,30.0267,,,,,
7115,17:00 30/10/2024,1.9708,5.8467,130.1925,67.1292,46.6433,1.9492,-,1809.5867,1009.1208,27.6817,,,,,
7116,18:00 30/10/2024,1.9742,5.4908,96.6633,82.8433,45.03,1.9583,-,2010.7008,1009.1892,27.2908,,,,,
7117,19:00 30/10/2024,1.9667,5.3692,81.9983,91.2083,49.2083,1.9525,-,2065.5342,1009.6842,27.5217,,,,,
7118,20:00 30/10/2024,1.9675,5.5358,74.1317,100.2783,54.0133,1.9517,-,2157.0525,1010.4258,27.7383,,,,,
7119,21:00 30/10/2024,1.965,5.87,61.6375,107.9708,70.8142,1.9517,-,2084.1908,1010.9342,27.6958,,,,,
7120,22:00 30/10/2024,1.9658,6.3892,54.0183,110.8217,79.5842,1.9475,-,2054.5675,1011.1383,28.1025,,,,,
7121,23:00 30/10/2024,1.955,6.0842,59.5217,107.6475,74.4725,1.9425,-,1867.8192,1011.1983,28.9775,,,,,
7122,00:00 31/10/2024,1.9517,5.9533,48.045,98.5558,74.1667,1.9392,-,1808.4575,1011.1333,29.1042,,,,,
7123,01:00 31/10/2024,1.9533,5.8267,48.9342,97.1292,72.9508,1.9383,-,1735.9367,1010.7342,29.0667,,,,,
7124,02:00 31/10/2024,1.9533,6.1892,47.2317,100.0325,65.5975,1.9392,-,1740.2725,1010.2558,29.0925,,,,,
7125,03:00 31/10/2024,1.9517,5.5733,21.6183,96.1942,67.815,1.9392,-,1798.8558,1009.9917,29.0383,,,,,
7126,04:00 31/10/2024,1.9533,4.9375,21.5192,84.5242,68.2617,1.9383,-,1808.9275,1009.7725,28.6342,,,,,
7127,05:00 31/10/2024,1.955,4.8042,17.0008,86.2908,67.6842,1.9383,-,1980.2675,1009.7625,27.3583,,,,,
7128,06:00 31/10/2024,1.9542,4.7567,12.1975,85.9458,62.2583,1.9375,-,2198.0592,1010.1083,27.0467,,,,,
7129,07:00 31/10/2024,1.9517,4.8792,14.895,81.18,58.4508,1.9333,-,2540.225,1010.8067,27.0033,,,,,
7130,08:00 31/10/2024,1.95,4.7108,25.9267,88.0942,57.7042,1.9292,-,2444.3483,1011.2775,27.0567,,,,,
7131,09:00 31/10/2024,1.9433,6.1908,43.8583,103.3475,72.0408,1.9242,-,2142.5133,1011.75,27.2183,,,,,
7132,10:00 31/10/2024,1.9433,7.1992,86.845,109.1117,80.1083,1.9258,-,2018.3767,1011.6617,27.63,,,,,
7133,11:00 31/10/2024,1.9442,8.2308,134.6333,111.2417,80.1025,1.9333,-,1953.8175,1010.8758,28.8433,,,,,
7134,12:00 31/10/2024,1.95,7.985,173.4592,105.1458,67.6342,1.9392,-,1907.9425,1009.6892,29.78,,,,,
7135,13:00 31/10/2024,1.9533,8.1317,189.6275,91.225,61.2775,1.9458,-,1872.78,1008.6092,30.6008,,,,,
7136,14:00 31/10/2024,1.9592,8.9767,214.5558,98.3267,65.34,1.9458,-,1913.0608,1007.495,30.8633,,,,,
7137,15:00 31/10/2024,1.96,9.8825,228.343,98.7325,65.2608,1.9492,-,1895.9375,1006.5025,30.825,,,,,
7138,16:00 31/10/2024,1.9608,10.3067,234.1543,102.5758,67.4125,1.9483,-,2023.8183,1006.3783,30.3858,,,,,
7139,17:00 31/10/2024,1.9892,7.54,208.0111,108.485,85.6242,1.9633,-,2862.8242,1006.4992,27.8717,,,,,
7140,18:00 31/10/2024,1.9867,6.19,131.9542,131.8275,100.8525,1.965,-,3729.005,1006.7775,27.4317,,,,,
7141,19:00 31/10/2024,1.9642,5.9425,106.7825,182.2758,105.365,1.9425,-,3908.1317,1007.31,27.5875,,,,,
7142,20:00 31/10/2024,1.9575,5.9725,103.7183,208.555,127.2433,1.9383,-,3443.2183,1008.0917,27.7217,,,,,
7143,21:00 31/10/2024,1.9525,4.7608,124.7325,218.9242,153.3592,1.9367,-,2414.7217,1008.9533,27.725,,,,,
7144,22:00 31/10/2024,1.945,4.52,93.7142,211.2867,147.5733,1.9342,-,2117.0575,1009.2667,28.1292,,,,,
7145,23:00 31/10/2024,1.9442,4.5433,84.2725,167.5033,123.1083,1.9325,-,1985.7725,1009.7017,29.1817,,,,,
7146,00:00 01/11/2024,1.945,4.5092,69.2583,145.8217,101.08,1.9342,-,1948.3125,1009.6667,29.3175,,,,,
7147,01:00 01/11/2024,1.9492,4.5083,62.6283,135.3533,92.5358,1.9333,-,1919.6567,1009.5017,29.4392,,,,,
7148,02:00 01/11/2024,1.9483,4.5433,64.0042,130.7117,95.7808,1.9358,-,1937.2208,1009.1767,29.4392,,,,,
7149,03:00 01/11/2024,1.945,4.3283,45.3308,126.4675,99.6292,1.9333,-,1926.8942,1008.965,29.3275,,,,,
7150,04:00 01/11/2024,1.9467,4.3383,52.8417,130.2733,102.9475,1.9317,-,1945.6508,1009.0867,28.9942,,,,,
7151,05:00 01/11/2024,1.9442,4.6325,45.245,147.4542,108.1217,1.9267,-,2127.59,1009.6683,27.54,,,,,
7152,06:00 01/11/2024,1.9392,4.2883,29.13,162.9675,110.8767,1.925,-,2253.7258,1010.2792,27.2333,,,,,
7153,07:00 01/11/2024,1.94,4.5408,35.685,167.9033,112.175,1.9192,-,2416.7433,1011.1792,27.1858,,,,,
7154,08:00 01/11/2024,1.9333,5.0642,34.0375,188.9692,122.7333,1.915,-,2874.7492,1012.1483,27.2592,,,,,
7155,09:00 01/11/2024,1.9317,5.3892,51.1042,229.4792,122.4233,1.9158,-,2496.8792,1013.1017,27.295,,,,,
7156,10:00 01/11/2024,1.9258,7.4625,91.7633,228.1642,107.5858,1.9117,-,1715.2325,1013.6017,27.4742,,,,,
7157,11:00 01/11/2024,1.9308,7.1658,110.7125,215.46,68.5842,1.9217,-,1552.02,1013.095,28.7742,,,,,
7158,12:00 01/11/2024,1.935,6.6142,126.0758,157.5133,33.9383,1.9267,-,1540.8717,1012.2183,29.7175,,,,,
7159,13:00 01/11/2024,1.9425,6.8383,141.7058,124.0283,20.8033,1.9333,-,1495.0867,1011.195,30.5833,,,,,
7160,14:00 01/11/2024,1.9442,6.6925,156.5717,79.8017,28.0892,1.9308,-,1542.1717,1010.3433,30.8875,,,,,
7161,15:00 01/11/2024,1.9408,6.255,161.1917,94.8892,42.5417,1.93,-,1521.64,1009.9,30.805,,,,,
7162,16:00 01/11/2024,1.9417,6.9458,160.6092,147.9875,50.94,1.9292,-,1592.8383,1009.7942,30.3433,,,,,
7163,17:00 01/11/2024,1.94,6.4317,145.9742,133.4642,49.4967,1.9175,-,1652.5125,1009.9933,28.0067,,,,,
7164,18:00 01/11/2024,1.9283,5.9058,92.8983,120.1967,38.2692,1.9158,-,2160.715,1010.2525,27.1967,,,,,
7165,19:00 01/11/2024,1.935,5.7958,35.6917,116.9092,43.8017,1.9175,-,2877.3767,1011.1675,27.4192,,,,,
7166,20:00 01/11/2024,1.9317,6.0675,32.2583,150.3442,78.1875,1.9125,-,2788.1992,1012.2625,27.6467,,,,,
7167,21:00 01/11/2024,1.9292,6.8067,69.0083,158.1542,99.8533,1.9133,-,2294.9067,1013.5675,27.5808,,,,,
7168,22:00 01/11/2024,1.9258,5.6017,110.8267,186.89,117.405,1.9167,-,2159.7625,1014.6108,28.0092,,,,,
7169,23:00 01/11/2024,1.9283,4.7558,102.4025,162.8742,125.5883,1.915,-,2046.11,1015.3375,28.985,,,,,
7170,00:00 02/11/2024,1.9317,4.6408,76.8917,166.2967,120.1208,1.9175,-,2061.3967,1015.3817,29.2992,,,,,
7171,01:00 02/11/2024,1.9342,4.5308,59.8225,168.805,117.4392,1.915,-,2004.3633,1015.1942,29.3633,,,,,
7172,02:00 02/11/2024,1.9292,4.5017,56.9242,178.2042,133.99,1.9125,-,2006.315,1014.8783,29.2917,,,,,
7173,03:00 02/11/2024,1.9258,4.1842,50.1775,176.2417,140.47,1.915,-,2020.6217,1014.7517,29.275,,,,,
7174,04:00 02/11/2024,1.9292,4.3558,53.4783,167.8742,134.1583,1.9117,-,1973.8792,1014.7242,28.8442,,,,,
7175,05:00 02/11/2024,1.9267,5.7,49.9967,159.4325,122.5058,1.9067,-,1994.2667,1014.9458,27.435,,,,,
7176,06:00 02/11/2024,1.92,16.9208,40.4992,137.9992,115.1725,1.905,-,1943.1208,1015.67,26.9867,,,,,
7177,07:00 02/11/2024,1.9192,17.2017,32.3708,132.8758,102.1167,1.9042,-,2172.2808,1016.4625,26.6992,,,,,
7178,08:00 02/11/2024,1.92,13.4615,63.3262,129.9354,85.4408,1.9054,-,2048.2662,1017.1923,26.7546,,,,,
7179,09:00 02/11/2024,1.9175,11.9542,100.1392,119.2208,63.4425,1.9025,-,1548.0225,1017.9075,26.8675,,,,,
7180,10:00 02/11/2024,1.9175,9.975,114.4725,70.9642,29.2492,1.9042,-,1472.4458,1018.1375,27.575,,,,,
7181,11:00 02/11/2024,1.9208,8.1208,127.16,37.5125,17.4592,1.9108,-,1434.4633,1017.6733,28.7433,,,,,
7182,12:00 02/11/2024,1.925,8.5792,134.5017,18.4025,9.0392,1.9133,-,1468.56,1016.8967,29.3475,,,,,
7183,13:00 02/11/2024,1.9358,8.29,142.3408,12.7975,7.4358,1.925,-,1439.9283,1016.0367,30.1,,,,,
7184,14:00 02/11/2024,1.9758,8.4425,152.825,20.8717,20.1642,1.965,-,1400.8467,1015.2367,30.7058,,,,,
7185,15:00 02/11/2024,1.9817,8.365,153.5167,42.4158,33.5117,1.9717,-,1451.2725,1014.6867,30.7875,,,,,
7186,16:00 02/11/2024,1.96,7.6367,158.9667,47.4017,35.84,1.9517,-,1495.93,1014.575,30.2292,,,,,
7187,17:00 02/11/2024,1.9725,7.6958,160.2283,51.4817,35.7975,1.9575,-,1526.1633,1014.7017,27.4825,,,,,
7188,18:00 02/11/2024,1.9817,7.2567,134.3458,56.0675,27.41,1.97,-,2009.7567,1014.9933,27.1558,,,,,
7189,19:00 02/11/2024,1.9917,7.4383,104.8433,80.9058,36.8875,1.98,-,2163.25,1015.5933,27.5508,,,,,
7190,20:00 02/11/2024,1.9942,7.2233,89.8567,102.9925,70.7317,1.98,-,2051.0342,1016.3567,27.5233,,,,,
7191,21:00 02/11/2024,1.9692,6.2158,81.3742,127.5533,96.8333,1.9575,-,1956.7667,1016.9975,27.3992,,,,,
7192,22:00 02/11/2024,1.9683,5.5292,75.2317,134.3733,106.0558,1.9567,-,1978.3033,1017.3808,27.6733,,,,,
7193,23:00 02/11/2024,1.9767,5.6708,72.9825,129.2158,98.115,1.9567,-,2070.47,1017.6442,28.6525,,,,,
7194,00:00 03/11/2024,1.9742,5.2892,51.0808,126.49,99.7508,1.9583,-,2057.3733,1017.6183,28.7983,,,,,
7195,01:00 03/11/2024,1.9767,5.2733,40.5358,137.5742,105.5383,1.9583,-,1986.02,1017.4292,28.9008,,,,,
7196,02:00 03/11/2024,1.97,5.1833,35.0258,150.2383,109.755,1.9567,-,1928.6267,1017.1508,28.9908,,,,,
7197,03:00 03/11/2024,1.9725,5.3708,41.215,142.3958,110.625,1.9567,-,1924.6208,1016.8167,29.0767,,,,,
7198,04:00 03/11/2024,1.97,6.7433,41.2467,142.5733,108.33,1.9558,-,1853.2592,1016.5267,28.6525,,,,,
7199,05:00 03/11/2024,1.9683,6.3525,39.0492,137.4408,99.4475,1.9508,-,1906.6833,1016.1467,27.3258,,,,,
7200,06:00 03/11/2024,1.9575,9.0517,26.4092,132.0342,93.1467,1.9458,-,1997.1125,1016.3717,27.0025,,,,,
7201,07:00 03/11/2024,1.9558,8.9933,23.6083,138.7758,93.53,1.9375,-,2139.3475,1016.87,26.8567,,,,,
7202,08:00 03/11/2024,1.9383,8.425,41.8092,157.6217,102.1983,1.9258,-,2409.7858,1017.6508,26.9067,,,,,
7203,09:00 03/11/2024,1.9475,10.3317,91.3517,155.3492,107.1217,1.9292,-,2465.3467,1018.29,26.9583,,,,,
7204,10:00 03/11/2024,1.9475,9.9425,113.4208,129.2567,86.8333,1.9308,-,2198.9833,1018.4633,27.38,,,,,
7205,11:00 03/11/2024,1.9375,8.8733,133.3842,118.6592,68.2158,1.9283,-,1880.17,1017.875,28.6892,,,,,
7206,12:00 03/11/2024,1.9325,8.4792,148.3525,113.4992,60.6408,1.9208,-,1815.8283,1016.9892,29.0358,,,,,
7207,13:00 03/11/2024,1.95,7.6642,161.2875,92.2758,60.0842,1.94,-,1670.6533,1015.9575,29.1383,,,,,
7208,14:00 03/11/2024,1.9675,7.8258,154.5267,79.1367,62.2217,1.9592,-,1645.7492,1015.0675,29.3458,,,,,
7209,15:00 03/11/2024,1.965,7.615,150.7342,80.355,58.4433,1.9558,-,1695.7908,1014.5225,29.4633,,,,,
7210,16:00 03/11/2024,1.9717,7.2792,136.1058,89.98,57.0492,1.9558,-,1741.7683,1014.3608,29.3117,,,,,
7211,17:00 03/11/2024,1.9567,7.5683,132.0975,91.7475,56.5258,1.9467,-,1829.1133,1014.6417,27.8617,,,,,
7212,18:00 03/11/2024,1.9592,7.125,108.5417,102.1975,60.9033,1.9467,-,2353.81,1014.9275,27.1633,,,,,
7213,19:00 03/11/2024,1.9608,8.2725,94.5625,121.3533,88.8633,1.9458,-,2582.7575,1015.4967,27.3367,,,,,
7214,20:00 03/11/2024,1.9592,9.1383,81.7525,175.465,120.7492,1.9433,-,2533.07,1016.0825,27.3158,,,,,
7215,21:00 03/11/2024,1.9583,7.3567,60.4092,205.0983,148.9217,1.9408,-,2518.7608,1016.3642,27.3842,,,,,
7216,22:00 03/11/2024,1.96,6.9225,51.2783,217.6425,160.0175,1.9392,-,2570.8492,1016.4625,27.705,,,,,
7217,23:00 03/11/2024,1.9583,8.6867,43.9,221.7175,164.2033,1.9417,-,2560.7475,1016.5558,28.7333,,,,,
7218,00:00 04/11/2024,1.955,9.2475,60.2417,223.1283,166.58,1.9425,-,2097.4608,1016.2175,28.9092,,,,,
7219,01:00 04/11/2024,1.9542,10.1683,49.4842,208.0258,160.95,1.94,-,2156.2092,1016.1042,28.9575,,,,,
7220,02:00 04/11/2024,1.9533,8.7283,50.185,211.0825,162.1917,1.9358,-,2132.965,1015.8008,29.0008,,,,,
7221,03:00 04/11/2024,1.9483,9.3808,67.4258,173.6492,140.4008,1.9325,-,1901.605,1015.6167,28.9517,,,,,
7222,04:00 04/11/2024,1.9458,8.7683,76.93,135.275,118.6292,1.9317,-,1811.1592,1015.5017,28.4842,,,,,
7223,05:00 04/11/2024,1.9358,7.1133,72.0633,120.865,93.3967,1.9267,-,1747.1917,1015.5733,27.185,,,,,
7224,06:00 04/11/2024,1.9383,6.775,63.8767,115.5592,74.4167,1.9275,-,1818.0008,1016.0017,27.0058,,,,,
7225,07:00 04/11/2024,1.9392,11.2083,68.4933,113.6108,68.5658,1.9258,-,2023.41,1016.6983,26.9417,,,,,
7226,08:00 04/11/2024,1.94,12.7983,45.3883,112.8925,75.59,1.925,-,2280.3667,1017.4442,26.8767,,,,,
7227,09:00 04/11/2024,1.9417,16.865,43.0517,112.63,89.2675,1.925,-,2338.9167,1018.1242,26.98,,,,,
7228,10:00 04/11/2024,1.9392,11.3883,78.4725,112.535,91.1675,1.9233,-,2209.7592,1018.465,27.4283,,,,,
7229,11:00 04/11/2024,1.9425,8.4442,85.3367,115.8636,90.9342,1.9283,-,2224.055,1017.9783,28.49,,,,,
7230,12:00 04/11/2024,1.9425,7.7267,103.1942,113.895,77.5217,1.9275,-,2212.5325,1017.0475,28.75,,,,,
7231,13:00 04/11/2024,1.9417,7.4867,137.3867,113.1042,68.0617,1.9317,-,1953.055,1016.11,28.9133,,,,,
7232,14:00 04/11/2024,1.9417,6.8892,124.9467,112.7283,67.2808,1.9292,-,1977.2708,1015.3975,29.0858,,,,,
7233,15:00 04/11/2024,1.935,6.2033,115.2758,112.5725,71.3417,1.9283,-,1773.7325,1015.0808,29.1542,,,,,
7234,16:00 04/11/2024,1.9375,5.9,106.225,112.4392,69.1825,1.93,-,1878.1692,1015.1275,28.8308,,,,,
7235,17:00 04/11/2024,1.9317,5.3325,93.0867,100.6525,72.87,1.9183,-,1915.1683,1015.6975,27.3483,,,,,
7236,18:00 04/11/2024,1.93,4.6158,71.42,68.055,62.885,1.9183,-,2008.7325,1015.9925,27.1033,,,,,
7237,19:00 04/11/2024,1.9292,4.8375,60.2875,41.6858,56.0142,1.9133,-,1795.2733,1016.4958,27.0525,,,,,
7238,20:00 04/11/2024,1.9208,4.5233,50.16,35.8092,41.2325,1.91,-,1783.0017,1017.2933,27.0892,,,,,
7239,21:00 04/11/2024,1.9192,4.6783,59.7808,37.3533,37.4525,1.9025,-,1616.7142,1017.7117,27.0108,,,,,
7240,22:00 04/11/2024,1.905,4.2933,53.9267,24.0733,28.49,1.8908,-,1564.0075,1017.6792,27.4242,,,,,
7241,23:00 04/11/2024,1.9075,4.9683,42.8975,17.7883,15.0,1.8925,-,1605.38,1017.67,28.5867,,,,,
7242,00:00 05/11/2024,1.9075,5.1508,64.3167,26.8158,24.5175,1.8933,-,1609.3608,1017.5958,28.9308,,,,,
7243,01:00 05/11/2024,1.905,4.725,66.4158,39.4083,29.5642,1.895,-,1611.7858,1017.4217,28.9475,,,,,
7244,02:00 05/11/2024,1.9067,5.6967,60.8817,44.1833,32.6858,1.8958,-,1666.7742,1017.2025,28.8833,,,,,
7245,03:00 05/11/2024,1.91,5.6,60.5558,51.6092,39.5933,1.895,-,1633.5008,1016.9517,28.9083,,,,,
7246,04:00 05/11/2024,1.9133,5.805,59.1042,59.0617,39.0975,1.9017,-,1644.745,1016.9733,28.4867,,,,,
7247,05:00 05/11/2024,1.9192,5.3233,52.77,66.4117,47.0167,1.9067,-,1770.9183,1017.22,27.2575,,,,,
7248,06:00 05/11/2024,1.9092,5.225,46.2333,63.5533,48.8242,1.9,-,1749.7692,1017.8508,27.0125,,,,,
7249,07:00 05/11/2024,1.9158,5.0442,43.9067,58.3133,43.8933,1.8992,-,1873.9275,1018.84,26.8983,,,,,
7250,08:00 05/11/2024,1.9142,5.0817,32.0825,51.1417,39.0225,1.9,-,2477.6408,1019.5117,26.8708,,,,,
7251,09:00 05/11/2024,1.9125,4.99,39.674,52.5017,36.8858,1.9,-,2149.4367,1019.9925,27.0075,,,,,
7252,10:00 05/11/2024,1.9142,6.2875,51.3633,62.6933,44.9142,1.89,-,2083.2975,1020.2158,27.5567,,,,,
7253,11:00 05/11/2024,1.5325,2.3558,39.5529,64.7742,37.6792,1.5325,-,3571.6633,1019.8217,29.4992,,,,,
7254,12:00 05/11/2024,1.53,2.0582,69.2222,78.0167,48.5008,1.53,-,1022.9475,1019.0825,30.5567,,,,,
7255,13:00 05/11/2024,1.53,7.3288,33.7292,92.0183,56.782,1.53,-,774.2392,1018.3933,30.7292,,,,,
7256,14:00 05/11/2024,1.53,49.363,29.26,92.2692,56.24,1.53,-,994.1875,1017.6742,30.2217,,,,,
7257,15:00 05/11/2024,1.53,4.5833,30.3978,96.1892,56.24,1.53,-,916.9175,1017.1067,29.8742,,,,,
7258,16:00 05/11/2024,1.7892,6.6608,40.6,92.595,-,1.7858,-,830.0667,1016.9033,29.2542,,,,,
7259,17:00 05/11/2024,1.9133,5.9483,36.5192,86.5767,-,1.9083,-,989.7775,1016.9033,27.6383,,,,,
7260,18:00 05/11/2024,1.9142,7.175,38.305,83.3558,-,1.9042,-,1146.7517,1017.3642,27.41,,,,,
7261,19:00 05/11/2024,1.9117,10.4508,36.5217,89.2292,56.565,1.9033,-,1044.9508,1017.6567,27.2775,,,,,
7262,20:00 05/11/2024,1.9108,8.2675,38.0492,79.57,56.675,1.905,-,962.0158,1017.9858,27.3017,,,,,
7263,21:00 05/11/2024,1.9092,8.9592,37.8975,68.0583,56.4017,1.905,-,906.9633,1018.3925,27.2533,,,,,
7264,22:00 05/11/2024,1.9117,13.0617,41.456,68.2725,56.2983,1.9025,-,1067.3292,1018.5875,27.495,,,,,
7265,23:00 05/11/2024,1.9025,15.48,49.2733,78.16,56.2625,1.9017,-,973.5783,1018.4717,28.175,,,,,
7266,00:00 06/11/2024,1.9092,11.28,40.9678,70.3125,56.2491,1.9008,-,1095.955,1018.485,28.4417,,,,,
7267,01:00 06/11/2024,1.9083,9.5142,57.905,78.8492,56.24,1.9025,-,1298.5792,1017.9767,28.5567,,,,,
7268,02:00 06/11/2024,1.9092,11.2883,43.4571,96.9625,62.2909,1.9025,-,1404.5933,1017.6408,28.4983,,,,,
7269,03:00 06/11/2024,1.91,13.1933,41.7975,106.4308,77.4542,1.9025,-,1347.0175,1017.3733,28.5792,,,,,
7270,04:00 06/11/2024,1.9075,11.5717,41.0875,109.625,78.2017,1.9033,-,1218.655,1017.4758,28.3458,,,,,
7271,05:00 06/11/2024,1.9117,12.5258,28.8718,111.3417,88.5617,1.8983,-,1146.84,1017.6433,27.4267,,,,,
7272,06:00 06/11/2024,1.9108,15.4475,36.2214,112.0592,96.6825,1.8992,-,1228.295,1018.1267,27.2367,,,,,
7273,07:00 06/11/2024,1.9125,14.3592,35.6688,117.7267,103.645,1.9017,-,1483.4792,1019.0275,27.2833,,,,,
7274,08:00 06/11/2024,1.9133,11.8917,30.0657,151.5717,109.2067,1.9025,-,1858.8142,1019.595,27.2183,,,,,
7275,09:00 06/11/2024,1.9117,12.7075,29.766,169.1908,111.2708,1.9008,-,1651.3092,1020.0142,27.2992,,,,,
7276,10:00 06/11/2024,1.9108,11.0708,32.9008,160.0183,110.0217,1.9017,-,1337.3283,1020.3475,27.64,,,,,
7277,11:00 06/11/2024,1.915,11.8925,37.3475,136.1883,88.6592,1.9008,-,1120.1275,1019.9533,28.4108,,,,,
7278,12:00 06/11/2024,1.9083,11.6667,55.9,121.2192,68.6742,1.9033,-,989.5983,1019.1833,28.7542,,,,,
7279,13:00 06/11/2024,1.9125,10.0333,58.56,116.4083,62.3464,1.9025,-,958.8125,1018.4858,28.825,,,,,
7280,14:00 06/11/2024,1.91,8.8167,65.8175,113.0692,58.9292,1.9017,-,1077.3933,1017.5058,28.9017,,,,,
7281,15:00 06/11/2024,1.9083,8.955,71.4275,107.0725,61.4292,1.9008,-,920.8733,1017.0567,28.775,,,,,
7282,16:00 06/11/2024,1.91,8.4442,71.31,97.9842,63.92,1.9,-,1036.4692,1016.9933,28.6225,,,,,
7283,17:00 06/11/2024,1.9158,9.3125,52.69,104.515,70.9292,1.9025,-,1584.0933,1017.0117,27.6867,,,,,
7284,18:00 06/11/2024,1.9108,8.625,41.9558,109.5517,80.14,1.9008,-,1955.1742,1017.3358,27.2,,,,,
7285,19:00 06/11/2024,1.91,7.9158,38.9942,125.2892,93.7725,1.8967,-,1653.61,1017.98,27.1442,,,,,
7286,20:00 06/11/2024,1.9075,8.4208,34.7183,159.6792,105.2908,1.8975,-,1601.4625,1018.6742,27.2517,,,,,
7287,21:00 06/11/2024,1.9142,7.9117,21.8522,180.9008,110.9267,1.8975,-,1825.485,1019.1833,27.3392,,,,,
7288,22:00 06/11/2024,1.915,8.2058,34.4975,205.7775,130.9708,1.9,-,1953.7125,1019.3558,27.535,,,,,
7289,23:00 06/11/2024,1.9142,7.5008,32.405,208.6483,130.6608,1.9,-,1653.5475,1019.4283,28.3392,,,,,
7290,00:00 07/11/2024,1.9183,8.0325,46.258,204.6508,133.6,1.9017,-,1622.5425,1018.9383,28.6383,,,,,
7291,01:00 07/11/2024,1.915,7.3808,34.9943,191.3175,130.715,1.9008,-,1487.8967,1018.4758,28.7183,,,,,
7292,02:00 07/11/2024,1.9158,13.2083,43.64,180.0592,133.945,1.9,-,1499.785,1017.8758,28.6808,,,,,
7293,03:00 07/11/2024,1.9158,27.8567,34.1487,202.8642,140.0475,1.8975,-,1674.0192,1017.4967,28.66,,,,,
7294,04:00 07/11/2024,1.92,20.4258,26.2125,215.2233,155.04,1.9017,-,1802.4758,1017.365,28.3275,,,,,
7295,05:00 07/11/2024,1.915,18.5575,29.5825,218.2925,161.3333,1.9008,-,1758.4108,1017.5008,27.4008,,,,,
7296,06:00 07/11/2024,1.9125,16.0975,37.5388,207.4075,155.5958,1.8983,-,1698.5625,1018.1225,27.3408,,,,,
7297,07:00 07/11/2024,1.9058,14.5267,45.38,177.5942,140.22,1.8942,-,1414.8683,1019.1117,27.22,,,,,
7298,08:00 07/11/2024,1.9008,13.35,33.0108,147.0983,123.4758,1.8925,-,1332.3467,1019.7683,27.1467,,,,,
