STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
2844,11:00 28/04/2024,3.8942,1.719,96.98,81.07,47.555,1.0242,2.8683,3123.5725,1002.2417
2845,12:00 28/04/2024,3.1883,2.2175,103.5082,87.87,52.0,0.8775,2.3092,3026.5692,1001.5225
2846,13:00 28/04/2024,3.3433,4.1633,119.7217,98.5742,57.6442,0.75,2.5942,2933.6617,1000.4267
2847,14:00 28/04/2024,2.7458,4.3908,126.47,106.6817,67.09,0.7183,2.0283,2910.2342,999.4567
2848,15:00 28/04/2024,2.6392,4.1292,135.5867,109.2033,70.5508,0.7217,1.9167,2811.0117,998.6508
2849,16:00 28/04/2024,2.165,2.6673,94.228,98.5075,63.9675,0.7483,1.4158,2692.23,998.3767
2850,17:00 28/04/2024,2.1817,1.8245,86.4808,82.6267,55.8783,0.85,1.3317,2713.3325,998.5167
2851,18:00 28/04/2024,2.575,1.756,76.3958,76.3175,41.9242,0.9333,1.6425,2871.9108,999.2717
2852,19:00 28/04/2024,2.325,1.7567,89.9483,72.6725,35.8608,0.8867,1.4392,2770.5417,999.9317
2853,20:00 28/04/2024,2.1792,1.7525,52.4378,66.3683,32.6242,0.8733,1.3418,2809.0858,1000.545
2854,21:00 28/04/2024,2.5858,1.345,80.6292,69.7892,37.9217,0.9583,1.6283,2821.0908,1001.4142
2855,22:00 28/04/2024,2.1167,1.1667,31.1218,64.04,33.1233,0.8258,1.29,2716.435,1002.1067
2856,23:00 28/04/2024,1.9192,1.4357,68.4982,61.7783,30.0533,0.86,1.1375,2681.4683,1002.2792
2857,00:00 29/04/2024,1.8808,1.2957,65.0433,61.0208,31.3717,0.8742,1.158,2615.1117,1001.9417
2858,01:00 29/04/2024,1.9292,1.365,66.7373,62.2183,33.145,0.9058,1.206,2568.23,1001.5517
2859,02:00 29/04/2024,1.7092,1.2,49.0742,62.4108,29.9592,0.8367,1.07,2531.3375,1001.4158
2860,03:00 29/04/2024,1.5083,1.305,49.0167,58.8433,28.9533,0.7975,-,2482.9108,1001.4275
2861,04:00 29/04/2024,1.5258,-,40.26,58.605,25.2033,0.7875,1.3,2501.6075,1001.4858
2862,05:00 29/04/2024,1.6008,-,85.4608,62.4308,26.455,0.8683,1.35,2540.0433,1001.7217
2863,06:00 29/04/2024,1.6983,1.27,56.365,59.2567,30.2075,0.8858,-,2569.88,1002.4267
2864,07:00 29/04/2024,1.9842,1.57,47.3458,57.35,33.8058,0.9308,1.368,2646.2542,1003.3283
2865,08:00 29/04/2024,1.9967,1.485,47.1167,57.6483,39.0475,0.9283,1.305,2666.9408,1003.9342
